throughput,latency,threads
2577.6,1.7345881760712276,75
2523.85,2.1476694023835656,75
2001.65,3.691554622674447,125
1840.4,4.931725966144701,125
1587.3,5.971384052289575,146
999.65,9.109439820305582,200
862.3,15.256102142538488,200
180.25,27.89380054105684,200
68.7,35.23407337616463,200
68.35,110.82049230425768,200
76.9,175.40031426010748,200
93.5,225.58317058408375,200
88.1,270.59906428784933,200
108.55,282.56142458392276,200
105.05,266.99418100680157,200
112.4,260.29012479539875,200
132.25,285.48148041308707,200
136.75,277.1670365936025,200
