throughput,latency,threads
446.6,85.67093432892969,354
12.05,102.09440271470619,354
15.3,110.76468978404894,354
1.2,765.2520893012703,305
2.65,1659.9441074934725,305
5.0,3491.057061519774,305
1.7,3854.6572354866307,344
2.05,3728.3059992121207,390
26.65,1826.6955537894737,520
0.85,2104.48813200846,276
1.25,2036.3757052226088,276
1.35,13411.553487304347,276
0.1,19256.721528481477,192
0.1,38483.76542609677,190
0.2,245206.90041375,186
0.05,254457.09569257143,185
0.1,293789.3986837143,183
2.3,31993.167133490195,237
61.25,1329.6530592843676,493
0.8,1147.5798603286712,493
1.05,660.5674336706635,389
1.1,22202.299621050846,389
4.55,9967.0290345,389
19.75,4388.346075929133,389
2.1,3443.0129025606057,397
3.95,4572.2316493817825,397
1.85,15660.19464477848,200
0.05,21997.847713153846,193
0.1,67804.56238982499,191
2.95,36183.240555758064,260
6.25,15577.601270449197,397
4.2,11365.135197022388,490
4.5,10813.985579652777,207
32.8,3949.405253401949,207
3.7,2470.447248418919,207
6.8,2895.6538238555954,208
