throughput,latency,threads
2798.7,1.9148890699815837,243
2847.05,1.4629085193203035,243
2859.95,1.4098419521808097,243
2781.75,1.3184315190244889,133
2872.9,1.3911436674326194,133
2838.3,1.2742821906858552,116
2750.4,1.454340006543604,116
2286.35,3.1545345434124368,116
1984.75,4.887846027321982,456
1800.55,7.383393769713084,456
1360.05,13.745206276845945,456
1014.8,18.839881728271756,108
0.15,33.004344152629194,105
0.15,59.55992081001647,102
199.3,211.86664602831368,565
1191.45,40.157140506273144,565
939.0,25.612018124412593,565
774.0,27.855893955155427,158
652.85,31.06783144944821,158
536.9,31.914890935871522,158
229.35,46.43510311111111,155
0.1,87.90556208960186,153
0.1,283.73218095125344,151
294.25,167.5671892735144,341
590.3,72.99852268094727,341
480.2,60.155969970945996,341
366.5,56.46450946964041,567
363.45,61.45977242558129,567
341.35,59.96847522897289,567
308.8,94.18002836062597,193
299.2,107.40639129538906,193
242.7,126.80149136900367,193
215.6,127.17024270578985,594
137.15,172.7994871055775,594
0.3,381.2809464878812,594
0.3,947.5100849051059,594
