throughput,latency,threads
258.35,38.96500667253725,207
10.15,51.07168515325884,207
16.15,71.08852134270157,207
10.2,495.88503719198894,159
10.65,638.1606010986486,159
11.65,794.166578596923,159
7.8,1011.2205017425248,300
16.3,1088.627877102098,594
14.8,1207.7610839418603,594
10.5,1309.1909940024036,324
10.65,1866.648834069541,324
11.1,2651.4048223912364,324
8.75,2616.802653936066,302
9.6,3019.221006225806,302
12.3,2540.39332697553,302
11.95,2794.620772608567,303
15.95,2579.777395717662,303
11.2,3319.78417574936,303
16.5,3134.120655666666,217
12.4,2841.727166558603,217
10.1,2493.520368120513,217
13.0,3383.6836355014084,156
11.15,4016.258579189781,156
7.0,3970.7521309612903,156
9.7,5134.674959646319,223
13.95,4918.2039965334425,223
8.3,5906.033609226917,223
9.45,5197.71254567981,385
8.8,5700.793634254237,562
11.6,6988.7658313587135,584
2.6,9697.87106332826,95
0.15,17977.480927038327,92
0.2,97290.88633893999,88
47.15,5430.792535774736,537
10.7,4530.9742755770885,537
7.5,3698.1756177345064,537
