throughput,latency,threads
441.8,89.63768979866455,200
23.95,109.43120408684916,200
5.35,114.67575569857779,200
5.75,825.2934476927834,200
9.85,655.7827773341288,200
4.8,1150.9122423118279,200
5.95,1397.3238169790575,200
3.65,2103.5365122604167,200
6.2,2223.713031971519,200
3.35,3373.6853024193547,200
4.25,2945.06999484585,200
7.35,3505.2924945117056,200
6.45,3584.2239021454543,200
6.0,2712.2417338203754,200
6.7,3508.577668966057,200
8.0,3651.231003962406,200
4.0,4727.431692123893,200
8.65,4850.896126467313,200
8.1,4466.511385093976,200
4.25,5188.606817070867,200
7.65,3340.1451977455918,200
4.0,5381.07372035849,200
4.15,7385.929973117886,200
7.75,6965.926763954545,200
5.95,6635.709796123248,200
7.8,6128.251442198529,200
6.3,11505.823749609164,200
6.95,10256.978502016625,200
8.1,10380.407533262294,200
5.4,8098.3405669388885,200
5.15,6563.3551908,200
6.1,9548.993163218845,200
7.25,8660.032054841791,200
4.9,8590.863748292613,200
6.25,8364.96872380163,200
0.3,13476.720634969695,200
