throughput,latency,threads
1179.35,3.1550555553435924,268
1291.15,2.740046736571544,268
1259.2,2.546245003726741,268
1259.1,2.289958707250576,570
1283.25,2.3311990449632454,570
1300.95,2.3959564162210802,570
1301.85,2.3759331330643083,450
1292.45,2.3603843206675585,450
1248.1,2.4858270390694277,450
1236.5,2.539986446763372,484
1286.3,2.478258524656588,484
1248.35,2.805982275027897,484
1256.2,2.8074380498830247,108
1255.95,2.89576182815186,108
1209.65,2.4613855277845116,108
1266.35,2.5329675933581517,167
1250.05,2.283634365870068,167
1259.65,2.419225343412785,167
1236.0,2.3044678281926547,390
1285.0,2.4086998772297448,390
1251.05,2.5634356869466965,390
1009.4,4.365035276704312,441
827.7,7.444421949784745,441
674.45,12.46320246571183,441
576.85,18.678972673948685,451
414.15,21.49811151663105,451
352.2,24.760117309516694,451
319.75,30.16862363973779,283
297.0,33.563770503489266,283
261.25,51.356256468231805,283
214.1,73.61866612850392,359
195.45,105.07977951740399,359
174.9,115.16414810924226,359
0.4,188.04150735364365,81
0.2,530.8907497699369,77
0.2,131190.46765293748,73
