throughput,latency,threads
3098.8,11.611181744382884,175
1355.1,12.438992677845638,175
410.3,12.298618749211746,175
201.95,32.18470311935725,175
65.5,61.217144135256845,175
138.4,170.5298655389125,150
121.85,176.9458578938378,150
111.2,194.92886139563635,150
108.9,172.34628767371365,150
68.6,265.6120735907165,150
125.6,244.8111284808733,150
85.55,300.64776281280973,150
58.85,413.688649976151,150
151.95,368.05140506351927,150
56.65,400.9419450398926,150
83.5,355.62390120678685,150
131.25,405.0761556690405,150
103.2,415.03254375342925,150
84.3,384.7509984779143,150
114.95,391.81971213767616,150
85.95,426.0116555194687,150
83.05,459.95616019221455,150
36.5,624.4233559105918,150
44.45,906.7399939539496,150
36.5,1290.14352333132,150
88.7,806.1866822139259,150
117.25,658.9844793521243,150
127.8,558.875050045587,150
145.9,547.4810695484587,150
127.75,664.368938609303,150
225.65,451.81584381169813,150
189.3,395.377870662849,150
172.7,393.44641074916535,150
79.5,527.1462820090536,150
69.35,570.0993930526065,150
38.3,850.2778504545196,150
