throughput,latency,threads,p99 latency
263.6,67.33563588190763,43,1613.4999999999889
265.2,69.88535572749575,43,1624.060000000001
268.6,72.9556410015943,43,1614.4000000000087
255.5,76.97690553126782,43,1628.560000000001
268.2,34.76645234493192,43,427.0
263.7,28.25653409090909,43,400.0
261.8,21.699799866577717,43,357.0
259.6,19.117831371059626,43,295.6700000000001
261.1,20.79738124820797,43,303.0
272.5,22.17971563981043,43,303.4899999999997
260.5,22.433899591914205,43,314.86000000000234
267.1,20.54697069631584,43,325.5800000000017
254.5,43.81181826804515,139,1263.1399999999994
268.7,42.993243243243235,139,1263.8199999999997
265.4,41.581888794165,139,1251.6000000000076
263.5,41.25342205323194,139,1243.579999999998
268.6,15.930594635152879,139,291.3799999999992
261.4,32.22889518413598,139,616.2399999999998
258.2,43.30217742702291,139,646.6699999999964
263.5,55.834078159170865,139,689.8199999999997
256.2,115.85750024054651,139,1419.1499999999978
247.9,114.53192941405868,139,1383.0
250.4,129.12917485265226,139,1365.4000000000049
206.5,156.68501560874088,139,1474.7799999999988
220.4,367.9158110882957,456,4121.939999999999
217.7,415.85530726256985,456,4156.98
235.4,478.17022727272723,456,4190.99
232.3,487.742576443316,456,4184.799999999999
208.8,271.2933676322559,456,1688.0
149.2,361.68563816904816,456,3442.0199999999963
69.9,459.84842519685037,456,6244.92
48.9,792.3184392699811,456,17605.559999999994
49.9,1645.3906888958793,456,21690.8
24.6,2272.3047077082256,456,30620.99000000003
19.7,2740.858141160028,456,40239.480000000156
8.8,2703.0427184466016,456,42357.92999999997
1.3,1626.6488970588234,196,60971.49999999988
0.1,2484.4214046822744,195,83306.0
0.1,4844.766990291261,194,117611.51999999999
0.1,27975.625,193,128489.0
0.1,121099.5,192,155483.0
0.1,129100.5,191,155483.0
0.1,120483.25,190,155483.0
0.1,122709.75,189,155483.0
0.1,115849.0,188,137395.0
0.2,162226.8,186,257454.0
0.1,190096.6,185,257454.0
0.1,204073.19999999998,184,257454.0
20.7,146808.79620853078,535,253199.51999999984
50.0,82074.84908321578,535,204032.96
50.7,67236.53415637859,535,209797.56
34.4,54498.03080872914,535,210749.71000000017
20.6,35880.85806037251,535,212307.72000000006
7.4,25360.2157382847,535,217031.8900000001
2.8,8435.561349693251,535,221210.87000000005
3.9,7431.170028818444,535,240744.2399999999
7.1,28697.52358490566,535,293533.34000000014
11.1,41850.859437751,535,319958.5
9.9,47385.628124999996,535,325674.5500000009
14.2,37301.255319148935,535,291351.8
15.3,60513.04752475247,217,307366.1
28.9,72964.54172767203,217,325140.16
31.2,66518.19866071429,217,324254.77999999997
34.8,66968.87931034483,217,328199.19
19.0,52302.115013169445,217,335842.3999999999
5.9,40358.683168316835,217,337597.49999999994
7.8,37388.265185185184,217,353921.44
7.7,32240.28888888889,217,361699.1
7.9,49748.737201365184,217,395690.7400000001
12.5,49528.30083565459,217,409589.59999999905
12.4,58976.01481481481,217,406372.12
7.8,55379.98522167487,217,417206.17000000004
2.1,52943.21551724138,198,419481.74
0.1,64534.27232142857,197,446999.0
0.1,51447.74257425742,196,455491.38000000006
0.1,165095.41666666666,195,500730.0
0.1,473464.5,194,500730.0
0.1,477584.75,193,500730.0
0.1,430910.75,192,500730.0
0.0,407637.6666666667,191,492255.0
0.1,401054.0,190,472504.0
0.1,347163.0,189,472504.0
0.0,391507.0,188,472504.0
0.1,465648.0,187,613930.0
28.5,141956.8013937282,298,549555.64
36.1,97156.87326120556,298,551495.88
30.5,70938.40861344537,298,552433.2899999999
25.7,64270.85761589404,298,565846.7300000001
21.8,39155.422436459245,298,567684.8999999997
21.6,25627.173694779118,298,569851.5399999999
18.5,27215.07420091324,298,576363.3900000001
8.4,22009.610241820767,298,597132.64
5.6,19810.98336414048,298,616038.9200000005
4.6,23809.55525606469,298,652671.7999999981
5.6,34178.169421487604,298,694928.5299999998
7.7,42427.765957446805,298,669969.8799999995
2.3,38967.13366336633,195,680815.99
0.1,46140.789808917194,194,717198.3399999989
0.1,54566.61764705882,193,765538.76
0.1,84685.15384615383,192,766079.0
0.1,741977.0,191,766219.0
0.1,724908.5,190,766219.0
0.1,617694.0,189,766219.0
0.1,649798.5,188,815957.0
0.1,651077.75,187,815957.0
0.1,581825.75,186,815957.0
0.1,714764.25,185,850967.0
0.1,713678.25,184,850967.0
0.0,694459.0,183,850967.0
0.1,721562.3333333334,182,850967.0
0.1,695319.3333333334,181,811613.0
0.2,768017.75,179,913130.0
0.1,732959.0,178,913130.0
0.1,802532.2,177,913130.0
0.1,749947.0,176,913130.0
0.1,729326.0,175,965295.0
0.1,803001.25,174,965295.0
0.1,660872.0,173,965295.0
0.1,759452.0,172,965295.0
0.1,603683.75,171,903632.0
17.2,435301.8514285714,292,907364.6799999999
46.4,293122.9937304075,292,915558.6499999999
37.0,201496.27010923534,292,917568.3099999999
19.7,171552.459684123,292,917590.36
19.6,113991.09616951915,292,918595.12
19.0,35951.61070304302,292,920503.1
8.2,30999.57894736842,292,940915.6000000002
2.9,37703.56136820926,292,946283.1799999999
0.1,38643.7417218543,292,952426.4499999998
0.1,63524.45132743363,292,1064306.3
0.0,129920.06451612902,292,1071720.0
0.5,797972.1428571428,292,1071720.0
0.6,537921.3333333333,168,1125221.0
0.2,567030.5384615384,166,1125221.0
0.1,533826.1428571428,164,1125221.0
0.1,506489.89999999997,163,1125221.0
0.1,856822.7999999999,162,1160186.0
0.1,874654.5,161,1160186.0
0.1,1040684.5,159,1160186.0
0.1,1062544.5,158,1174093.0
0.1,906740.25,157,1174093.0
0.0,825783.6666666666,156,1174093.0
0.1,961485.6666666666,155,1174093.0
0.1,979985.3333333334,153,1229592.0
6.9,579124.8169014084,239,1230616.0
27.6,392037.7406340057,288,1169176.2799999998
23.9,247502.06666666665,288,1165128.9
23.9,180634.7970838396,288,1155210.3599999999
24.7,117913.14785214786,288,1154988.8199999998
20.5,32400.269892473116,288,1152945.7199999997
