IRR,Request Count,Mean Latency (for window),99th Latency
-1,46905,20.306597549481623,326.0
-1,77687,175.6878367177787,1554.8399999999963
-1,92322,2179.7846790890267,42529.49
-1,92338,204073.19999999998,257454.0
-1,94684,35485.60697674419,291312.66
-1,96598,58851.402877697845,420372.68
-1,96608,465648.0,613930.0
-1,98772,40637.77916666666,668326.5300000001
-1,98788,694459.0,850967.0
-1,98800,603683.75,903632.0
-1,100512,559253.8333333334,1125221.0
-1,100524,979985.3333333334,1229592.0
-1,102129,329800.4659090909,1346147.0
-1,103709,77287.24747474748,1381478.8399999999
-1,103724,1559088.3333333333,1569882.0
-1,104515,137538.75813953488,1662391.0400000003
-1,105875,70389.27826086957,1720995.1099999999
-1,106972,126519.36639118457,1624093.2800000003
-1,108360,135965.7672035139,1951664.72
-1,109339,140477.84974958265,2063028.0
-1,111985,69263.86666666667,2169561.960000002
-1,113797,129135.94103194102,2115720.3200000003
-1,115439,210900.59124087592,2406098.92
-1,117510,151495.99539170507,2570190.25
-1,120154,114951.48494453248,2431585.199999995
-1,124206,21514.29550827423,599818.9199999991
-1,129093,28431.45366284201,633792.6
-1,132802,95247.83241455346,2692887.5599999907
-1,132870,735125.9375,3224369.0
-1,143931,14450.463836477986,326505.6000000024
