throughput,latency,threads,p99 latency
17.9,277.0663716814159,25,3288.8900000000076
18.1,190.8755364806867,25,1719.0
17.1,108.68188302425106,25,1226.8600000000001
17.3,100.00142247510668,25,1085.8800000000065
17.4,104.15593705293274,25,908.0
16.2,107.21470588235294,25,935.7099999999936
17.2,103.12481644640235,25,903.0799999999996
18.9,101.93543758967002,25,1024.02
19.6,94.73713490959666,25,1015.999999999998
17.9,89.15353260869566,25,967.7899999999998
18.7,111.5565912117177,25,1550.3600000000001
19.7,109.63372859025033,25,1554.1999999999994
17.6,104.4127198917456,25,1557.8000000000004
15.3,113.4039270687237,25,1562.4800000000002
17.5,100.04285714285714,25,1101.95
17.9,107.11713030746705,25,1267.48
19.5,111.35470085470084,25,1160.5800000000004
18.0,104.68312757201646,25,1156.8000000000006
16.8,92.25069252077562,25,1000.8299999999986
16.8,97.54992967651195,25,1008.6799999999996
18.3,104.40486409155936,25,1278.0
18.8,110.48090523338048,25,1267.559999999996
16.7,113.42067988668555,25,1269.8799999999942
18.2,102.2986111111111,25,1154.6499999999987
17.1,100.96045197740114,25,1053.8299999999997
19.4,99.01400560224089,25,1053.0500000000002
16.7,93.85154061624648,25,1053.0500000000002
18.8,91.8638888888889,25,1028.699999999999
17.5,79.71685082872928,25,772.5
17.5,72.43404255319147,25,734.4399999999985
20.5,73.23149394347242,25,744.1599999999967
16.4,72.31849791376912,25,701.1999999999979
17.1,82.56083916083915,25,727.7600000000011
16.1,86.74322396576319,25,766.3400000000006
17.4,83.38450074515647,25,741.8399999999992
16.0,77.0105105105105,25,717.6400000000003
17.7,67.42410714285715,25,709.54
18.1,61.90462427745665,25,534.7700000000006
17.9,71.53658536585365,25,754.069999999998
17.5,75.70084269662921,25,813.8500000000003
16.4,77.78254649499284,25,935.0
19.4,78.65870786516854,25,922.2600000000004
20.0,73.86903137789905,25,816.939999999998
17.4,72.99043715846994,25,896.5899999999926
18.6,69.90981432360742,25,776.3500000000001
16.2,77.90443213296398,25,977.7799999999997
18.6,75.16101694915254,25,746.7999999999988
18.5,108.32823365785814,25,1818.999999999979
17.7,105.2281690140845,25,1859.9499999999937
16.5,103.52173913043478,25,1844.4800000000064
17.0,104.30085959885386,25,1910.729999999999
17.3,80.69489051094891,25,815.039999999998
17.5,82.12005856515373,25,908.4799999999991
16.0,79.21828908554572,25,909.880000000001
17.8,72.61078717201165,25,907.6399999999999
17.7,64.66811594202898,25,748.1700000000003
20.2,65.06555090655509,25,718.3800000000005
15.9,63.4413407821229,25,566.500000000002
17.6,67.72549019607843,25,618.3500000000012
19.0,61.60522696011004,25,524.44
16.4,65.9854862119013,25,548.9000000000004
18.6,67.80167597765363,25,622.670000000002
16.2,73.42022792022792,25,732.3400000000006
18.5,74.26398852223817,25,734.3799999999986
18.6,68.62865090403338,25,690.5999999999967
17.2,78.09219858156028,25,731.6799999999987
19.7,77.35405405405405,25,746.2600000000004
15.9,86.39495798319328,25,967.1500000000004
