throughput,latency,threads,p99 latency
6.3,624.6318537859008,127,18762.239999999972
7.8,641.9197530864196,212,19257.25
6.6,819.2428571428571,240,29003.529999999988
3.9,1023.1417004048583,240,38090.400000000096
4.3,1228.9247787610618,240,43805.22999999998
3.3,2391.0607734806626,240,74474.48000000003
3.3,2918.317567567567,240,75789.85999999997
3.0,3552.195652173913,240,89239.05999999972
3.3,4442.162790697675,240,89739.39999999973
3.4,3301.253846153846,240,88125.06999999993
2.4,3799.1322314049585,240,90582.34000000003
1.4,5297.809523809523,240,113570.69999999995
0.5,7763.441558441558,245,156853.0
0.2,18269.24444444444,247,156853.0
0.2,43112.13043478261,249,156853.0
0.2,95011.90909090909,251,156853.0
1.2,79352.72222222222,265,190405.0
2.3,37019.48717948718,289,190405.0
2.4,26018.590163934423,311,191527.0
3.6,20729.063157894736,311,226739.0
3.7,16447.558333333334,311,226389.56
4.2,16778.13669064748,311,226383.4
2.0,15259.140740740739,311,226418.96
1.4,18886.58407079646,311,246316.81999999998
3.3,20090.22018348624,355,248054.9
3.4,18035.28712871287,393,248064.58
2.9,18834.11818181818,398,248053.69
2.7,13767.650406504064,398,285644.44000000024
2.5,12178.121739130433,398,286335.32000000024
1.7,14344.836734693878,398,297511.0
2.1,15909.033333333333,398,304537.0
1.4,19150.64935064935,398,333757.0
1.7,19608.014492753624,398,333757.0
1.8,19450.37142857143,398,333757.0
1.6,20158.092307692306,398,333757.0
1.9,20898.728571428568,398,366838.0
2.4,18737.96103896104,385,366838.0
1.0,22849.1884057971,385,381643.0
1.8,27513.0,385,411268.0
2.6,21663.897435897434,385,411268.0
1.9,27440.20547945205,385,411268.0
2.6,26500.179775280896,385,437977.0
1.4,22112.705882352937,385,437977.0
2.3,29801.60975609756,385,456874.0
2.9,26423.695652173912,385,478766.0
1.6,24032.048780487803,385,478766.0
1.9,27339.64367816092,385,488249.0
2.5,28516.02247191011,385,489964.0
1.5,32016.626666666667,401,489964.0
2.0,34450.734177215185,424,516898.0
2.0,36208.6875,436,516898.0
1.9,28808.135135135133,436,516898.0
2.2,23090.50617283951,436,516898.0
1.6,30954.46753246753,436,571196.0
2.1,24314.02564102564,436,571196.0
2.4,20950.493975903613,436,571196.0
1.9,34254.1375,436,586297.0
2.1,21973.870588235295,436,586297.0
2.6,22063.088888888888,436,586297.0
2.0,37993.56976744186,436,599151.0
1.3,31003.85,323,599151.0
1.3,36420.69444444444,323,599151.0
2.2,42187.029411764706,323,599151.0
2.4,31698.416666666668,323,640303.0
