IRR,Request Count,Mean Latency (for window),99th Latency
-1,1292,5298.4,113570.69999999995
-1,1510,19055.1875,246433.19000000006
-1,1781,20406.647058823528,366838.0
-1,2031,28516.02247191011,489964.0
-1,2274,37557.58620689655,599151.0
-1,2514,41127.083333333336,739549.0
-1,2778,27271.79775280899,832279.0
-1,3023,39198.34146341463,960734.0
-1,3304,36742.885964912275,1008292.049999999
-1,3425,94122.54545454546,936997.0
-1,4076,12165.828767123287,590246.4000000003
-1,4338,35362.23943661972,1130556.0
-1,4644,18668.015873015873,653889.2999999998
-1,5067,20609.647058823528,566509.759999999
-1,5459,25904.83582089552,624296.2500000012
-1,5914,13250.248120300752,529879.6799999985
-1,6237,18702.91489361702,224149.0
-1,6539,22104.65306122449,584610.0
-1,6870,21367.42105263158,501771.0
-1,7147,75804.11111111111,830387.0
-1,8132,3578.2607260726068,55941.759999999944
-1,9807,64.17557251908397,721.0
-1,11871,75.46786248131538,762.2999999999995
-1,13980,65.98710601719198,714.03
-1,16144,63.47612359550561,706.7500000000001
-1,18267,69.95203488372093,985.4399999999999
-1,20363,70.34971098265895,763.3500000000003
-1,22456,78.21702127659574,949.8599999999989
-1,24510,74.6041095890411,787.3799999999999
-1,26581,72.73722627737226,796.8799999999993
