throughput,latency,threads
3032.0,12.489394317552971,200
2088.35,16.036425334166584,200
1566.85,16.875125209953346,200
1314.75,20.199268067462224,200
494.7,20.30426867965888,200
93.9,22.860324753479652,200
49.35,47.48541656079015,200
47.5,101.1890182733945,200
64.8,125.33327690535107,200
35.45,173.05236392114207,200
45.75,222.86299327568491,200
98.15,194.91677016476163,200
11.5,190.45189600482624,200
36.85,228.96950726928324,200
41.65,369.69420764999995,200
2.0,581.4149458937887,200
1.7,1077.24209208269,200
38.8,1701.2595178070587,200
47.3,733.140982451025,200
48.75,480.89825474749716,200
108.5,276.51300180567097,200
95.2,242.02784960091108,200
36.25,359.72728176740304,200
0.35,583.2685088391502,200
20.85,1367.5773872863358,200
99.9,503.1458756775392,200
4.9,420.33665084281733,200
32.15,336.8776159576333,200
50.15,882.7258084810779,200
43.65,764.6267688026994,200
47.55,781.5191762759108,200
96.65,331.6543210753261,200
92.8,375.64350866877635,200
75.8,344.02787477134774,200
31.7,764.1042945748876,200
4.85,1176.0852799839715,200
