throughput,latency,threads
2964.85,12.982965010034235,200
1768.35,18.06524903405694,200
1603.15,17.74825885692078,200
1177.0,24.07122286797874,200
427.05,23.14475588583115,200
49.1,31.63684370524423,200
49.9,54.82488418186139,200
89.3,130.95674067766834,200
48.7,193.02851567748803,200
50.1,136.983901319851,200
102.55,163.0952344767817,200
52.2,138.12396996423323,200
43.35,241.9464677743564,200
2.6,570.3467280429887,200
149.55,302.26032696598463,200
77.8,272.34806400021745,200
31.9,266.0117792607522,200
1.95,501.93035284326015,200
106.65,482.60319998896796,200
40.4,378.48708380536914,200
48.5,467.2221005452917,200
45.35,570.3135717523278,200
2.0,1081.0425885169534,200
47.15,941.5369414878306,200
47.25,1138.3146748355807,200
2.9,933.4197452805755,200
44.6,1228.181762248021,200
46.45,1072.1373461383714,200
50.75,964.0282171586742,200
52.1,717.0805038360161,200
124.25,483.17682701188903,200
57.9,327.36659478846155,200
46.9,537.2876315546823,200
45.55,868.2638421129591,200
95.05,863.8130252701334,200
94.3,553.2571614082588,200
