throughput,latency,threads
2157.45,9.377363204982618,182
1937.75,7.534819274260109,182
1422.4,7.887462052259567,182
934.3,12.08213197656131,193
887.9,18.199772616450442,193
717.8,21.910811615771713,193
482.2,19.02180186332421,193
352.05,25.66937888602429,193
301.2,35.949137576531285,193
281.95,44.2726113728741,193
238.25,47.29506839662524,193
214.85,63.21413397039563,194
134.7,78.69640309003242,194
135.2,94.19315886992963,200
101.8,107.19430454050053,200
91.45,129.79910712998478,200
59.35,220.32091983597778,200
63.25,255.53920001642035,200
91.0,296.714577071831,200
62.0,255.0336079795015,200
62.15,362.683222976528,200
62.3,481.0975607256637,200
80.9,430.0034438318282,200
76.25,429.9560750175438,200
88.65,267.4334746780388,200
91.45,369.91769423623896,200
86.5,313.72368645434045,200
103.0,356.58197168108205,200
108.6,329.1500901192553,200
102.85,287.7179371837872,200
83.2,409.1554895230325,200
83.7,357.1939702085264,200
95.25,506.43509557322653,200
90.4,364.18318930240355,200
61.05,543.814687591168,200
61.75,612.8278264330357,200
