throughput,latency,threads
3104.05,9.999317495771653,200
2163.05,14.614563950485085,200
1514.5,16.025970427251682,200
1233.5,21.85166997645573,200
321.0,21.746634885299663,200
141.5,24.85103126998786,200
99.25,31.570684117238304,200
137.6,60.438247366111554,200
98.8,66.59694731703681,200
184.15,78.57692151753656,200
94.85,87.18167265484384,200
2.1,159.31236657086893,200
139.0,214.66552887243057,200
2.7,460.74359194471486,200
0.75,362.3599511393471,200
91.8,612.5716843669292,200
93.6,285.6173916371206,200
46.85,284.6350127810549,200
3.3,272.29273775199994,200
46.45,569.7173775533126,200
47.65,586.6743314871662,200
91.8,460.5119078039268,200
3.8,378.1114349573427,200
93.05,402.42187398303736,200
47.15,342.23060798610624,200
138.65,338.98276784687107,200
153.5,177.76155111096375,200
43.45,247.5506255224929,200
35.3,260.46562632192075,200
63.0,723.0091095485009,200
47.95,617.8226419011627,200
48.1,766.0056633586922,200
85.2,571.4746362557241,200
25.95,795.0205881591836,200
75.1,528.4944065578524,200
145.55,545.5729010983374,200
