throughput,latency,threads
3533.35,18.33293379396907,132
2674.15,15.192438338727346,132
413.65,15.472427398137658,281
75.1,18.12455798647819,399
493.1,79.42678840740545,399
37.9,156.99161518499542,199
0.1,164.01017968120993,128
0.25,1506.7097152431372,123
7.3,6556.2740785,228
77.85,771.6610747687354,269
696.8,99.87010493912653,269
702.9,57.04299698480944,199
0.1,50.82256252758757,155
0.15,109.78382876939486,152
3.1,21462.904152149255,201
1326.75,70.25900660293233,201
448.1,51.91578681790826,201
63.75,47.574895082566556,200
0.2,170.29947015711355,196
0.1,1012.6421863583138,194
0.3,144449.26553158334,188
0.1,187464.7132227,186
0.05,205471.6336971111,185
0.1,277041.4037478,183
0.1,187533.95822179999,181
0.1,213291.04064999998,179
49.05,1475.4295948042595,187
286.55,323.9941852332439,187
167.8,185.00206752324195,187
252.3,121.45914831278066,186
0.2,192.93476863621223,182
0.05,282.8851918155224,181
0.1,213269.99575242854,179
0.1,301323.4265658,177
0.1,464801.02255399997,175
0.05,608852.0078896,174
