throughput,latency,threads
2767.85,11.36871470686634,74
498.75,12.14164563608951,74
177.2,14.563978017959812,76
1846.25,28.131599849558224,256
1761.55,24.364167853555433,256
1391.85,19.799237267531403,256
32.6,15.922116793405655,185
0.05,18.055418167666996,184
0.1,749.6631320543478,182
0.1,78279.96195639999,180
0.05,90580.8362388,179
0.1,121999.7318868,177
791.65,49.23041266052033,212
52.3,62.34317346259108,212
88.8,54.52767398198874,212
1.35,384.9613054594595,197
0.1,637.2659050637119,195
0.05,39984.339503103445,194
12.2,3852.5687782591094,320
2.45,3673.971601465986,320
4.0,4026.524943919571,320
3.0,8591.77653978836,295
6.25,5923.053263684211,295
3.75,5048.183345158102,295
41.6,1756.488465545809,269
6.0,2129.287622475073,269
17.85,1703.6602321107716,269
482.05,234.82669578709104,213
186.45,143.0684897536063,213
138.7,121.66884627888248,213
0.95,330.8247373564829,195
0.15,1107.8371588854689,192
0.05,247940.6352197692,191
0.2,397309.745433625,187
0.1,412947.249871,185
0.05,424193.1859775714,184
