throughput,latency,threads
1222.95,3.367178684068517,377
1248.0,2.8615699532973147,377
1259.4,2.7645446305455033,369
1250.9,2.4693548031424646,234
1255.4,2.5719487533013283,234
1244.85,2.519914289404337,125
1215.4,3.042257011211578,125
1240.65,2.8232540088931066,125
1279.65,2.8246450717800213,205
1298.05,2.2356946973103593,273
1257.55,2.5072747894076435,273
1263.75,2.4215152394822854,103
1239.95,2.3963990249124065,103
1292.4,2.223271398641609,103
1245.9,2.315259603959084,281
1245.0,2.369043097522892,364
1236.75,2.3303957030750637,364
1249.1,2.2947218361009765,206
1260.85,2.4539632568622207,206
1241.15,2.422727352512512,206
1249.55,2.4672406135347575,120
1238.65,2.4219325980123556,120
1245.9,2.422542341684671,120
1292.55,2.3799656273199017,308
1254.9,2.2066014353419807,308
1274.2,2.216172704231077,308
1268.15,2.126787774886236,38
1261.45,2.107604105820803,38
1229.9,2.0013262350478627,38
1274.2,2.102686641440098,30
1266.6,2.102032512120608,30
1264.2,2.3485983910827852,30
1224.45,2.497293616080362,285
1244.5,2.5246142928123363,285
1237.25,2.430063411562006,285
1262.75,2.2391088561427464,285
