IRR,Request Count,Mean Latency (for window),99th Latency
0.0,93176,9.337849574364643,209.98331182999948
0.0,155535,24.185904844687922,198.0277718799998
0.0,155546,62255.15163390909,153794.30907
0.0,174982,69.14158122909241,185.32850386999982
0.0,174987,204157.5549772,246894.391159
0.0,203886,53.39235697886202,228.67998365999756
0.0,203892,207244.04159133334,350683.18783
0.0,203898,373387.62673566665,473145.081974
0.0,203902,419798.56306899997,496243.71641
0.0,203908,446137.44151966664,568811.021917
0.0,203913,577647.3504614,620077.814651
0.0,204597,3476.0561266652044,41.79732119999998
