throughput,latency,threads
1964.15,16.332418342361834,196
1966.9,16.94829953315272,200
1177.8,16.119266182350234,200
750.65,18.192868226820398,200
701.5,19.314175757048613,200
140.15,29.284273567292598,200
326.1,31.44106944662813,200
117.4,77.46251715294319,200
162.25,72.8936761291388,200
115.9,115.3668650707875,200
135.15,103.26936375423934,200
130.25,113.7103005661842,200
111.45,141.28032045298806,200
108.9,137.08073436061125,200
87.7,206.19861703165068,200
108.05,180.70795835269982,200
66.85,249.77967550818735,200
75.25,273.3103630811513,200
110.25,278.8301460322964,200
56.55,304.5517157093586,200
84.1,234.59594745277002,200
81.35,343.4242833726596,200
80.85,289.8472912368742,200
81.8,312.81195307786885,200
48.15,398.08410394866917,200
74.95,355.8732360841874,200
60.65,537.4134926680272,200
54.6,580.7343781609989,200
75.7,707.7567478607396,200
69.05,525.60438203386,200
80.3,506.34954249831947,200
125.45,387.929333352802,200
35.7,490.39637536798506,200
75.8,515.1565325197299,200
45.85,798.9727394782332,200
46.8,788.2844148949091,200
