throughput,latency,threads
1291.75,8.958217148049233,164
3464.9,8.33126767293158,200
1749.8,9.435093246125,200
324.4,14.110010524416692,200
906.95,21.142379712213494,200
492.25,31.278520470758878,200
153.5,27.571024397629934,200
148.2,51.27440660987999,200
105.0,94.82087717617408,200
115.15,81.06606443783267,200
86.8,116.12717648747339,200
104.6,120.77920434301093,200
60.25,181.79651359948218,200
57.1,173.25867704912122,200
130.3,197.18594672965824,200
114.05,200.07824850665094,200
75.05,232.0928937133688,200
100.9,274.02536408948276,200
105.5,300.07101939384233,200
118.45,209.6732425024638,200
91.65,188.42766235519645,200
155.55,142.7515991483659,200
107.4,246.34201055718975,200
127.35,273.8423647546758,200
97.3,300.52907879159767,200
103.95,255.88643270146719,200
94.05,234.08299898434308,200
78.45,398.95796626062577,200
121.0,389.679316949063,200
128.7,297.9062535875362,200
98.0,193.93778528494934,200
93.85,302.56640757572916,200
108.45,473.0712105418817,200
74.8,638.4586891396831,200
112.0,401.06281432565623,200
64.6,488.8012312698886,200
