throughput,latency,threads
1935.55,4.52628094764168,106
1208.3,7.261384363264787,188
1812.45,11.906680002340384,200
1035.3,16.66446100404038,200
999.15,23.127314326522654,200
493.7,24.6664900229531,200
52.35,34.49516742061091,200
147.15,43.8509884812464,200
186.55,77.12122195984976,200
39.95,100.55861990137828,200
47.2,143.7437878969494,200
89.55,191.91162563299378,200
141.2,148.11633902986148,200
93.55,134.9643355621338,200
85.7,206.0656911485411,200
68.75,288.4053912203629,200
53.85,350.0489760746485,200
49.3,355.82156799505526,200
68.25,378.5719309311552,200
79.5,390.9692285376808,200
26.3,457.4671388690032,200
80.4,446.1131890316863,200
112.2,344.1270057825491,200
44.5,368.6599595965837,200
54.95,476.1486775505402,200
42.1,870.6630687273048,200
99.05,618.8157490583867,200
22.0,646.106900315354,200
89.05,516.2998657901,200
57.05,572.1075708094525,200
68.15,597.2893607512252,200
64.9,653.4092338900579,200
60.65,664.3037729945709,200
41.75,752.4325467023311,200
91.45,756.7978068037141,200
82.75,722.3154923180342,200
