throughput,latency,threads
376.75,6.687954244426751,167
2140.0,6.429121712704877,212
1943.4,10.525493322197683,212
401.8,12.46422050270397,270
1534.05,15.993921706362876,352
1092.4,16.682971814876577,352
4.9,21.850699946041505,126
0.15,50.448766007245375,123
0.1,9979.0736315,121
338.0,130.52204050657795,333
859.2,45.59379919368579,347
316.0,37.97909121259582,364
146.7,39.73577102432422,402
516.15,48.06994919696583,402
557.9,42.951277765599336,402
46.35,42.6932146604784,390
327.35,37.430374482127526,390
52.15,58.144777685452624,390
66.7,70.53041737962752,235
56.25,329.02499642661337,235
62.35,353.33991201699945,235
10.35,433.5720721301982,179
0.1,461.5248569278846,177
0.1,5086.145037597156,175
55.4,1253.6929834163668,224
101.35,562.0296517599617,226
57.0,412.26657275415204,228
98.8,386.8508751090803,250
78.35,404.1781567478112,252
65.55,527.0889537480429,256
0.15,1023.7094223703575,177
0.05,2153.3534745825095,176
0.1,399976.4357296667,174
37.4,3405.0633063688415,198
42.5,1974.65356878,199
115.7,667.8516815171267,201
