throughput,latency,threads
676.95,7.172738713051185,146
2521.45,6.584928215404577,164
1435.25,10.268423937640952,238
604.05,11.388622258995737,332
1125.4,20.35206344585927,396
476.65,22.121989936607587,410
152.9,35.57570860373611,363
915.3,36.56702101818714,363
519.35,36.88465366891828,363
143.55,26.565584988911414,317
156.55,39.649940514380525,317
100.3,82.97492326338276,317
82.2,140.42463553605663,452
203.05,103.38194136220982,461
13.2,148.63047408748113,469
83.95,145.20680418304462,342
45.2,370.41086270811377,342
96.35,285.5874076355536,342
72.7,356.8626824644107,469
314.65,158.7684964330163,473
153.9,142.06098829718243,475
33.65,128.216795009167,295
25.0,419.15793505034105,295
24.85,1186.244949437078,295
68.25,805.9277181054191,370
70.2,615.0252223291487,370
50.55,463.89158458227513,370
23.6,776.7529762791825,185
0.05,1021.2843772667117,184
0.1,4151.176709004301,182
62.35,1499.24836422,222
88.55,716.7384529321192,222
36.9,584.7012913615548,222
8.85,730.3209335949367,184
0.1,2580.6640749999997,182
0.1,14332.03392203315,180
