throughput,latency,threads
427.75,9.118201998597474,167
2283.25,5.740335805274806,182
1524.45,9.154258728021816,244
502.7,12.251632830800984,289
1156.2,19.571428368095244,289
974.75,19.136416181927068,289
2.7,21.25185619564654,149
0.1,32.374146555618644,147
0.1,19458.911342555555,145
0.1,81550.44954633333,143
0.15,102016.12781985714,141
0.1,129069.79595914285,138
290.3,186.64910376169993,303
747.9,69.65338787778099,317
652.55,68.6425953515096,342
32.2,79.97460614723883,170
0.1,136.9554713857719,168
0.1,1989.6332772003816,166
37.6,1497.6232749537037,174
42.65,922.2656161574362,174
52.75,681.5604916729324,174
93.3,553.3404400832007,208
101.15,377.20676794174756,210
66.35,409.23500479478326,213
23.2,602.1906135230728,162
0.1,1186.3205701372,160
0.1,4058.8247115816553,158
188.45,453.16881668831167,225
5.55,703.304468518032,229
147.55,459.23820852818034,251
113.3,642.3358489487612,257
166.25,387.8403299809178,257
172.55,350.14635668425154,257
53.8,397.43448953973507,190
121.9,430.28697233338113,190
78.6,533.0718652278805,190
