throughput,latency,threads
386.2,102.72862264992231,194
84.15,174.78843085893484,200
69.75,262.28923624384373,200
54.5,931.5472482490403,200
57.95,1311.1540588391877,200
60.5,1430.4849168363214,200
1.8,1406.238108387271,200
0.05,1417.656675275862,200
1.7,7498.9430252957745,200
0.1,12597.765952,200
2.4,7029.800727809523,200
8.9,5888.798820714912,200
1.6,7153.292496410852,200
0.05,8688.558597374407,200
0.75,28147.1912933125,200
0.1,41286.93779894444,200
2.65,12252.581731514285,200
0.5,11500.189928953845,200
0.5,14984.425811671232,200
2.4,16353.892143161764,200
3.6,13771.348043484615,200
1.1,12709.77184634507,200
0.15,20933.772680979382,200
0.1,53251.55297922222,200
0.95,84268.99061225,200
0.05,71863.06353740908,200
0.15,57016.169289,200
0.2,42235.670079874995,200
0.95,7810.932863961538,200
0.05,5681.929438125,200
0.45,4727.5114794137935,200
0.25,24101.014846933333,200
0.05,54582.7277608,200
0.55,91294.45784882353,200
0.05,101071.61997053846,200
0.3,84336.29188955555,200
