throughput,latency,threads
1254.95,13.253892052392525,167
2831.2,8.512346412258482,167
1389.5,12.86153699379999,200
1494.25,15.688161765166699,200
1313.1,22.076739702715262,200
669.05,20.36591134182664,200
50.25,20.216707887910346,200
43.45,34.57941078309747,200
15.95,220.5131934354765,200
112.95,145.8458456794343,200
82.7,158.75440705860115,200
63.2,126.66521650685723,200
51.75,241.76410427649884,200
22.1,325.93389829040495,200
66.9,330.7697165327169,200
78.95,282.70277132092883,200
3.0,335.61223209271077,200
1.85,834.9622807816229,200
1.9,7314.245557837036,200
1.1,14325.48456126804,200
0.1,12152.312578806452,200
0.2,36795.31242385714,200
1.6,9100.472581894737,200
0.6,15735.914419208333,200
0.55,8192.346473418182,200
0.2,32436.210046296295,200
0.1,28240.641324823526,200
0.05,68571.39275557142,200
0.15,93699.91969883333,200
0.3,54916.359788300004,200
0.25,43250.87811971428,200
0.95,3274.8842464666664,200
1.75,1667.2872455932202,200
0.1,1761.4844615714285,200
0.05,2607.931825605263,200
1.15,4318.358553153846,200
