throughput,latency,threads,p99 latency
6.3,2661.1567164179105,41,47743.530000000006
6.85,3251.277566539924,41,71487.48000000008
7.75,3234.2979452054797,41,76524.8099999999
8.0,2825.495238095238,41,72065.55999999972
6.6,2684.185567010309,41,65302.35999999954
9.25,2928.1577287066243,41,62236.07999999999
8.9,2770.371900826446,41,61895.8
8.6,3134.4914285714285,41,89996.48000000035
9.4,2981.5222222222224,41,76601.31999999982
9.3,2017.9679144385027,41,46211.25
8.55,1830.0140056022408,41,40841.24000000015
10.8,1809.4961240310076,41,46915.479999999996
9.15,1986.4285714285713,41,48961.0
9.25,1990.8695652173913,41,49146.689999999995
9.6,1793.3395225464192,41,35414.739999999976
14.55,1636.2525879917184,41,41163.63999999973
25.35,1908.4235588972429,41,48167.41999999999
31.65,1578.2464912280702,41,11861.729999999921
12.6,919.7386877828054,41,6433.299999999993
5.45,765.797783933518,41,20361.239999999998
6.0,2608.196506550218,41,48050.29999999997
8.7,3168.452380952381,41,63864.250000000065
7.05,2942.2920634920633,41,68860.99999999984
6.55,3240.345588235294,41,78521.63999999988
7.3,3349.0108695652175,41,70128.0500000003
8.0,3282.1013071895422,41,70729.09000000001
9.85,3061.1876750700276,41,74414.76000000004
10.7,2004.4720194647202,41,44211.95999999999
9.45,1826.213399503722,41,44207.79999999992
10.7,2224.5136476426796,41,54321.719999999914
10.3,1633.1761904761904,41,38650.2600000001
14.2,1440.9755102040815,41,30083.719999999747
28.4,2060.988262910798,41,58497.980000000716
25.6,1327.224074074074,41,9777.840000000286
8.25,436.314623338257,41,13037.200000000003
8.5,1531.1014925373133,41,32282.63999999999
8.15,2248.7207207207207,41,53381.10000000002
6.65,2624.1722972972975,41,54922.59999999985
7.65,2959.6083916083917,41,62341.7199999999
9.45,2566.941520467836,41,59389.93
9.05,2122.7864864864864,41,51395.09000000023
10.05,2630.6178010471203,41,60915.79000000007
10.45,2039.8536585365853,41,48241.299999999785
22.0,2380.1879815100156,41,63736.0
35.1,1236.9054290718038,41,27424.739999999758
27.25,167.92708333333334,41,2884.9999999999995
9.15,353.1510989010989,41,7220.690000000009
8.6,1287.8056338028168,41,26911.76
8.0,2059.5060240963853,39,45085.39000000005
6.45,3061.612456747405,39,67851.6000000002
8.8,2835.4229508196718,39,66743.57999999999
10.8,1937.7627551020407,39,44607.889999999985
14.0,1405.931451612903,39,30638.15999999984
13.05,1144.5988909426987,39,23935.300000000014
13.6,1033.9342105263158,39,20887.819999999938
29.9,1910.4310344827584,39,80878.21999999987
24.9,1431.1149635036497,39,15656.209999999872
7.3,400.0139751552795,39,10156.999999999885
7.55,1337.5353535353534,39,31080.959999999992
8.2,2487.5714285714284,39,54893.35999999988
9.05,2865.6057971014493,39,57913.3
8.85,2328.7458100558656,39,57855.450000000004
8.45,2202.4768786127165,39,43721.529999999875
9.75,2520.6126373626375,39,68639.50000000093
8.0,2529.7774647887322,39,57929.639999999985
19.15,2781.8139963167587,39,76005.31999999868
15.65,2029.221264367816,39,52927.679999999054
7.8,988.2388059701492,39,20758.5
7.7,1707.7387096774194,39,35218.309999999954
8.0,2610.4713375796177,39,55824.650000000016
6.65,3465.2969283276448,39,71550.62000000001
9.55,3226.6234567901233,39,76223.0
9.35,2289.15873015873,39,48592.409999999894
8.6,2007.6016713091922,39,45751.79999999993
14.3,1794.6157205240174,39,43031.55999999992
25.55,1720.923462986198,39,45000.03999999997
17.25,1216.96261682243,39,15964.539999999546
10.35,658.195652173913,39,14742.130000000012
8.95,1557.3652849740931,39,32919.119999999995
8.4,1945.9365994236312,39,35789.87999999994
13.55,1706.984054669704,39,41442.00000000011
28.7,1634.7254437869822,39,58365.459999999
18.25,1147.591054313099,39,17852.200000000015
6.05,718.8806584362139,39,21431.029999999995
5.85,2304.983193277311,39,39787.459999999875
6.55,3180.5846774193546,39,56964.65999999991
7.25,3402.032608695652,39,75091.06000000007
6.85,3679.269503546099,39,82316.17000000009
7.25,3437.478723404255,39,73480.72000000015
7.45,3307.3707482993195,39,75522.7500000001
9.65,3139.836257309941,39,87298.94999999997
7.3,2780.8082595870205,39,79316.20000000058
7.25,2766.6804123711336,39,55175.67999999927
6.65,3010.3920863309354,39,63270.04999999943
7.35,3557.739285714286,39,88101.38999999997
11.15,2964.218918918919,39,70264.54000000018
12.9,1641.1392931392932,39,56132.32
14.7,2134.0235507246375,39,45302.92000000006
21.05,1695.7286713286712,39,44810.720000000336
8.35,831.547619047619,39,17976.570000000014
8.7,1721.7653958944281,39,37526.459999999955
7.25,2206.438871473354,39,45345.799999999996
8.6,2569.5993690851733,39,58705.04
7.75,2446.7247706422017,39,49635.13999999992
10.9,2280.184986595174,39,49014.69999999989
26.55,2282.3978638184244,39,58975.5
29.0,1159.5841584158416,39,19530.67999999947
21.6,333.60375494071144,39,3985.560000000002
7.95,637.3824027072757,39,16122.560000000132
7.35,1697.5947712418301,39,43557.42
6.5,2885.4873646209385,39,52279.61999999977
7.05,3448.8044280442805,39,66160.99999999971
8.1,3301.7755775577557,39,79730.59999999987
9.0,2554.1988304093566,39,51443.33999999999
9.8,2287.5159574468084,39,47789.63000000008
8.2,2149.8083333333334,39,47800.39999999991
8.55,2628.620895522388,39,74352.75999999988
11.55,2612.390547263681,39,59970.599999999955
19.95,2164.3142857142857,39,53256.06999999903
14.1,1511.503671071953,39,27034.979999999432
11.8,715.9942084942085,39,16782.95999999991
7.45,1491.2181818181816,39,37242.999999999935
11.9,2015.2739018087852,39,41337.920000000006
11.2,2196.034632034632,39,38967.25000000001
11.55,1981.2857142857142,39,34542.599999999984
10.0,1339.8979118329464,39,34055.68000000002
9.25,1401.7818181818182,39,35352.24
13.4,1426.1081677704192,39,32643.67999999997
21.95,1799.147100424328,39,46775.519999999284
10.85,1641.4725609756097,39,25227.009999999595
12.05,881.0240174672489,39,22303.929999999957
9.05,1263.8341232227488,39,28453.319999999992
10.7,1484.440506329114,39,41911.12000000006
20.35,1951.7133655394525,39,44473.61999999985
27.4,2206.0827225130893,39,42678.75999999968
18.3,1411.655361050328,39,8431.95000000002
7.5,696.3223300970874,39,20862.839999999975
8.5,2030.459375,39,40137.470000000045
8.4,2748.159292035398,39,61635.4
9.5,2265.2932960893854,39,61540.59000000001
9.0,1658.4486486486487,39,39883.65000000011
10.55,1795.7902813299233,39,45498.599999999846
20.8,1935.7627388535032,39,64719.21000000024
31.5,1336.2055449330783,39,39680.22999999967
23.9,609.4801444043321,39,6524.2200000000275
8.4,485.6083591331269,39,15183.13999999983
8.0,1534.655487804878,39,29410.999999999924
11.65,1688.730279898219,39,34073.600000000006
13.85,1662.754901960784,39,62344.159999999974
15.4,1550.2051282051282,39,61358.29999999998
28.25,1363.3516609392898,39,43479.87999999986
17.15,957.1288546255506,39,14013.91
7.4,709.9674134419552,39,23791.92
7.25,1804.3549488054607,39,37079.84
7.9,2763.052805280528,39,59236.03999999998
7.5,3360.3311688311687,39,80496.53000000025
7.4,3036.261744966443,39,81362.4
8.1,2919.738709677419,39,51462.429999999964
8.35,2445.0091185410333,39,46539.29999999998
6.2,2617.13058419244,39,49822.559999999896
9.1,3100.6993464052284,39,59388.21000000003
9.95,2130.55905511811,39,50701.34
9.75,1773.5786802030455,39,46935.650000000045
9.3,2020.2073490813648,39,43579.82000000012
13.95,1759.8666666666666,39,45934.399999999856
25.7,981.375,39,25803.909999999865
17.65,1842.2456747404844,39,31674.7999999988
10.95,2661.9720279720277,39,70326.63999999891
8.35,1557.520725388601,39,34523.729999999996
9.25,1857.3636363636363,39,44659.92999999988
8.05,2412.521739130435,39,62305.920000000195
7.3,2886.009771986971,39,73708.40000000013
7.5,2627.7263513513512,39,42407.88999999951
8.95,2644.1489361702124,39,54376.0999999998
8.8,2086.7303370786517,39,52761.19000000008
8.65,2086.842406876791,39,51022.5
13.0,2089.3210161662814,39,47603.9799999997
19.1,2127.6619937694704,39,38348.30000000064
12.65,1729.0566929133859,39,24695.159999999883
10.5,1162.4794816414687,39,24375.28000000004
