IRR,Request Count,Mean Latency (for window),99th Latency
-1,11398,1005.0517928286853,26422.62
-1,16759,824.7127819548872,15512.199999999997
-1,22039,1056.9481385840327,20433.659999999996
-1,27341,935.2719086316714,31395.92
-1,32400,1516.501864443957,31540.199999999993
-1,37661,1202.788258148068,31441.3
-1,42662,1614.831263858093,31538.399999999998
-1,47956,1358.176507936508,31520.0
-1,53041,1560.2444590739522,31504.84
-1,57970,1706.4172110835773,31570.8
-1,63344,991.3628997867803,31421.449999999997
-1,68463,1507.043705153294,31485.0
-1,73589,1447.5475617756395,31518.0
-1,79014,994.3275825794235,26277.36
-1,84378,1183.4741103771573,31457.769999999993
-1,89358,1618.7091481231737,31552.5
-1,94545,1132.405861456483,31438.949999999997
-1,99526,1606.486836233824,31515.51
-1,104800,1231.151004536617,31471.399999999998
-1,110118,1013.960086299892,16129.640000000056
-1,115129,1635.03953180212,31525.0
-1,120342,1447.9914438502674,31503.69
-1,125346,1500.0885765283356,31488.0
-1,130443,1326.8296788482835,31484.68
-1,135647,1382.0135805130415,31516.399999999998
-1,140814,1303.9810209424083,31494.899999999994
-1,145987,1445.009090909091,31521.37
-1,151112,1511.4723441615452,31543.43
-1,156408,1203.2266781042247,31465.159999999996
-1,161498,1619.9850195397307,31490.859999999997
-1,166587,1534.5736690965318,31547.0
-1,171949,1016.1550042408821,15644.99999999999
-1,177486,708.6754181664196,15479.519999999999
-1,183053,645.4473684210526,15470.0
-1,188622,718.8999365348001,15480.439999999999
-1,194175,589.3049735449734,15466.48
-1,199718,604.2238932429569,15462.34
-1,205029,1043.0616854908774,31421.699999999997
-1,210518,668.2127887082977,15465.23
-1,215670,921.0441739914356,15523.24
-1,221224,600.9015247776366,15454.0
-1,226559,876.7697022767074,15495.930000000002
-1,231771,1492.415254237288,31554.969999999998
-1,236988,1526.2201834862385,31515.0
-1,242317,652.8503220075504,15454.0
-1,247906,592.2984790874525,15463.67
-1,253263,965.5213021629888,22385.880000000016
-1,258727,531.2827236668136,15452.259999999998
-1,264068,715.057853057633,15479.0
-1,269358,982.7770700636942,29407.86000000013
-1,274770,663.7977307440541,15470.509999999998
-1,280114,894.84250764526,15598.150000000007
-1,285646,610.1634307659484,15467.119999999999
-1,291068,619.4293490093621,15454.119999999999
-1,296468,787.5457111834962,15512.819999999998
-1,301750,1099.3108344255131,31433.21
-1,307267,608.5323679727428,15450.0
-1,312734,653.8758872875887,15475.5
-1,318000,713.4950716845879,15484.400000000001
-1,323619,595.312315478701,15463.0
