throughput,latency,threads
404.1,5.910873374721741,182
2462.65,8.076742471928142,216
1627.6,13.67252382749452,261
4.0,16.053091134268538,63
0.25,34.33904345866683,58
0.25,9052.484416108107,53
98.0,570.7119222116752,105
220.25,249.19097804678177,105
279.75,146.1083320541015,105
109.05,177.34200171677202,128
199.2,208.53142638463532,128
175.8,302.88110871562856,128
141.1,291.8370401550621,105
133.5,370.12409867586507,105
186.2,351.98766825312737,105
296.55,296.60296454636995,183
2063.5,62.224256693109034,214
1337.4,38.86152485844298,261
15.5,21.865227649711937,98
0.15,39.13344359742482,95
0.15,1698.024817620253,92
127.15,406.6850551404472,217
835.8,79.82138851832623,260
892.3,50.151311597736154,268
50.75,48.18472358947605,142
0.15,70.59020881215176,139
0.15,1288.6879823290892,136
213.55,214.60520163081597,261
254.25,115.62703278608825,261
125.2,142.42880952137256,261
10.4,281.9382647598207,140
0.1,843.3506525158438,138
0.15,9646.132992713592,136
0.1,290352.67928,133
0.1,294943.138956,131
0.15,342918.2811054286,128
