throughput,latency,threads
868.2,18.548550632791407,194
2350.1,14.242117534357666,238
1432.5,16.247983853327888,246
349.5,16.163046042906306,421
1220.25,24.476170852656317,433
767.55,22.66099168613327,437
15.8,25.54464316134681,147
0.3,46.12619470372275,145
0.65,5542.493499028777,128
122.35,686.0179626265206,195
95.75,352.7467837206857,195
87.7,148.2592574301831,195
61.3,206.46119724882533,226
132.35,198.6111150867247,226
112.75,189.3094503056462,226
55.4,213.77628228785355,253
104.4,235.23601018579032,253
154.15,247.67923827345118,253
103.6,321.0615281509043,208
105.35,360.560067339763,208
77.75,492.3973084004186,208
42.7,417.4843502069809,225
108.3,442.8582866143045,239
88.55,432.3765129327906,242
61.5,554.0351525791724,258
69.2,616.9063059134505,258
120.25,543.7175842161785,258
76.3,494.5490202133283,197
61.6,511.95900671024594,197
103.9,601.8021149375517,197
65.1,553.773708987614,207
179.35,365.93046699210566,228
68.65,400.3378180159949,230
38.6,497.61270145690855,241
93.15,1001.1406612260479,259
93.65,914.8349072333629,261
