IRR,Request Count,Mean Latency (for window),99th Latency
0.002,93527,16.18446391002983,357.2270354199975
0.0,139981,22.91594898312504,375.94604723000134
0.0,140097,49653.3143328387,99683.814435
0.0,146411,168.65464389402388,224.4304847199974
0.0,152347,169.436797741761,171.04283451999999
0.0,159166,276.475792613829,133.62735888000026
0.0,164849,460.6402849813562,144.46201191999984
0.0,169398,555.2904420037652,117.09904240000068
0.0,174602,535.5771018242824,153.33972643000155
0.0,180250,472.2487341228577,154.31620196000017
0.0,185909,517.8373683199575,145.36001850000036
0.0,190534,950.8215813329003,163.85242917999918
0.0,191715,3843.150998777681,519.37529424
0.0,191745,148069.20221333334,822366.385241
0.0,191769,226333.990615125,873451.561107
0.0,191796,285859.27640355553,945638.941179
