throughput,latency,threads,p99 latency,std dev,errors
47.3,12.299947835159102,25,135.91999999999962,28.38560282617248,0
52.0,12.167520491803279,25,145.52000000000044,27.90043994261493,0
48.3,11.835989717223649,25,137.53999999999996,27.023088866382416,0
53.1,12.874439461883409,25,166.2000000000007,35.49402347248621,0
49.2,12.594274432379072,25,172.73000000000002,36.13630228053679,2
53.4,12.992153016184403,25,190.7999999999979,37.82241103461252,2
50.6,12.897721764420746,25,200.71999999999977,37.832133556458324,2
51.6,11.7841796875,25,158.0,29.897687831044745,2
51.4,11.742995169082125,25,137.73999999999978,29.376271593508907,2
51.2,11.47802734375,25,142.62999999999988,27.763174352674707,2
46.5,11.870951669157947,25,132.84000000000015,27.919585928267978,2
50.4,11.88710486703462,25,136.48999999999955,28.64167314266922,2
49.6,12.50581689428427,25,151.20000000000027,30.641143048533706,2
47.2,12.39442436757873,25,140.3399999999992,30.929544200221486,2
41.4,12.49628844114528,25,153.0,32.34721307713566,2
51.6,11.919957872564508,25,144.0,29.99863805402828,2
50.1,11.498686284813452,25,143.8800000000001,28.729381549275363,4
48.7,12.16475495307612,25,157.04999999999973,31.264499504752084,4
47.0,12.633046122655854,25,190.51999999999995,34.31536290472407,4
51.5,14.126203750633552,25,245.4599999999998,41.40267293544999,4
47.7,14.116983068240122,25,266.5,41.568276680802214,4
50.0,14.354740061162078,25,269.7199999999998,42.4064597847739,4
46.8,13.964285714285714,25,265.5599999999995,40.28915078852925,4
41.9,13.168454935622318,25,239.29999999999654,35.148493408905075,4
51.0,13.594095940959408,25,226.79999999999927,36.87964698513498,4
48.8,13.320063694267514,25,208.95000000000118,35.787016767087664,4
48.0,13.505007907221929,25,232.2899999999997,37.21211407008707,4
48.5,14.540499235863475,25,265.0799999999997,39.96184170189497,4
50.1,14.799385875127943,25,266.7000000000003,39.687626671749676,4
48.4,14.049205535622756,25,262.44000000000005,36.916221792098334,4
45.4,13.71049896049896,25,253.5,35.38348684412189,4
51.9,12.339632277834525,25,191.87000000000054,31.262198596401657,4
48.6,11.76954732510288,25,137.39999999999918,29.889696660522663,4
51.1,12.10253807106599,25,139.73999999999978,31.59375648129923,4
51.7,11.582390555828825,25,112.66000000000007,28.088254207062086,4
51.2,12.26061204343534,25,136.1100000000001,32.10793830415986,4
52.5,12.307021791767554,25,152.3399999999999,32.88672233444844,4
48.6,12.41764705882353,25,169.25999999999885,32.187884584566454,4
48.4,12.609865470852016,25,186.04000000000084,34.26400001809653,4
47.3,11.755081300813007,25,126.33999999999924,29.841505994398485,4
49.9,10.988671472708546,25,98.0,24.826318391788753,4
44.8,10.845063025210084,25,98.0,24.75147403576101,4
48.0,10.715263157894736,25,97.98,22.64124768117951,4
49.1,10.428050052137642,25,73.6699999999996,20.11367759897869,4
50.6,11.10025974025974,25,99.73,26.026879585887233,4
48.5,11.261467889908255,25,101.36999999999989,25.771273245966007,4
48.5,11.420945602440263,25,102.0,27.36153950102803,4
49.6,11.78448275862069,25,119.58999999999968,29.478103777547243,4
48.7,11.464925755248336,25,110.14000000000033,27.639030167420664,4
49.4,11.413863404689092,25,133.87999999999738,27.612880310814276,4
47.2,11.76500769625449,25,126.0,28.79822866234568,4
51.1,12.281059063136455,25,150.74999999999955,30.38176900082573,4
49.8,12.354936708860759,25,136.3600000000001,29.57154521506839,4
46.1,12.589083419155509,25,132.56999999999994,30.325387100865772,4
55.2,13.103857566765578,25,237.53999999999814,36.589828256919226,4
56.7,12.820981713185756,25,155.84000000000015,35.16530469659112,4
50.7,12.986583612841399,25,184.43999999999048,35.982655512991464,4
53.4,12.684722222222222,25,162.40999999999758,36.76551070139619,4
48.3,12.558584409373504,25,153.0,32.5169927855164,4
44.3,13.09506863243518,25,186.59999999999332,35.51193129894147,4
49.2,12.258196721311476,25,119.0,32.756341260889094,4
52.0,12.014963880288958,25,119.0,31.929476977069992,4
51.6,11.190258751902586,25,96.55999999999993,32.14097794771577,4
49.1,10.955423476968797,25,98.0,30.462962191278415,4
48.4,11.414719045251118,25,124.1399999999976,31.660125364020455,4
45.9,11.816410256410256,25,128.5,32.06752088537354,4
47.0,13.296218487394958,25,214.10000000000173,36.212406405888814,4
52.9,13.585478887744593,25,216.0,37.49755486106795,4
46.6,14.74064449064449,25,271.75,43.768736908044936,4
53.7,14.154845154845155,25,268.0,42.13938935169245,4
48.3,12.912158808933002,25,257.9999999999959,36.80491686382014,4
49.9,12.662972292191435,25,194.6599999999903,36.061703488029764,4
49.7,11.769345238095239,25,146.51999999999975,31.013658607748745,4
48.3,14.266564729867483,25,205.40999999998985,54.471797654825295,4
47.9,14.244126659856997,25,173.0500000000004,53.91448378359229,4
50.8,15.016268429079817,25,266.23999999999955,55.59955471816629,4
51.4,15.850302419354838,25,271.3000000000002,56.23351347936801,4
47.2,15.014191586416624,25,274.0,42.48433431977142,4
49.0,14.792233988905698,25,274.16,42.70327899225817,4
50.4,13.607575757575757,25,269.19000000000005,39.27618283169867,4
49.4,12.649999999999999,25,257.50999999999885,38.96734867012079,4
52.0,11.546314741035856,25,137.30000000000243,31.851374556689304,4
53.1,11.550024402147388,25,115.0,32.21580310919019,4
50.7,11.359649122807017,25,122.35000000000012,31.413402274987398,4
48.2,12.040196078431373,25,191.30999999999923,31.039634394521247,4
51.3,12.027040314650934,25,180.75000000000136,33.10389607669039,4
52.1,12.25308947108255,25,171.76,32.59571933531383,4
47.0,13.10171198388721,25,229.19999999999524,36.38403789702731,4
48.8,12.840361445783133,25,199.8299999999956,38.89619170627778,4
51.1,12.709401709401709,25,192.29999999999973,36.05282030864244,4
52.2,12.50828729281768,25,192.2099999999998,35.62255370452384,4
