Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
default,350,49.327222222222225,11.871639504893624,148,32.314103008702205,8
thread_50,350,49.39222222222222,12.0487087485659,155,32.953338014493866,16
thread_100,350,49.6925,12.511439799209583,178,34.36653018757882,6
thread_200,350,49.35444444444445,12.20567212229001,159,34.2878886419681,18
default,700,98.87611111111111,12.14783651820179,186,38.22373945771652,22
thread_50,1050,148.52277777777778,11.663579473406623,165,38.78928787872456,36
thread_100,1050,148.41583333333332,11.566192585771583,163,38.033584517008904,32
default,1260,22.39361111111111,13.76044754828386,230,45.92349843583009,42808
thread_50,1260,22.39361111111111,13.76044754828386,230,45.92349843583009,120153
thread_100,1260,22.39361111111111,13.76044754828386,230,45.92349843583009,193543
thread_200,1260,22.39361111111111,13.76044754828386,230,45.92349843583009,262099
default,1400,22.39361111111111,13.76044754828386,230,45.92349843583009,327807
thread_50,1400,22.39361111111111,13.76044754828386,230,45.92349843583009,390740
thread_100,1400,22.39361111111111,13.76044754828386,230,45.92349843583009,455501
thread_200,1400,22.39361111111111,13.76044754828386,230,45.92349843583009,523044
default,1750,22.39361111111111,13.76044754828386,230,45.92349843583009,590798
thread_50,1750,22.39361111111111,13.76044754828386,230,45.92349843583009,655063
thread_100,1750,22.39361111111111,13.76044754828386,230,45.92349843583009,718178
thread_200,1750,22.39361111111111,13.76044754828386,230,45.92349843583009,781596
