throughput,latency,threads,p99 latency,std dev,errors
0.3,201738.0,50,217681.0,15484.934226531283,801
0.9,220203.5,50,226728.0,5671.085890887051,835
0.4,222749.8125,50,232603.0,6758.285070625042,858
0.2,225252.22222222222,50,245313.0,9661.492812162991,908
0.0,227749.06666666665,50,245313.0,8401.34090884703,960
0.1,239654.85714285713,50,265486.0,13502.546937875231,989
0.1,258043.25,50,276144.0,15376.067103890166,1077
0.7,279507.8888888889,50,283991.0,6087.513089194233,1120
0.4,283364.53846153844,50,292659.0,7825.540978268793,1160
0.2,287154.5,50,303373.0,8060.710817577777,1216
0.0,288001.46153846156,50,303373.0,7714.268085992611,1261
0.0,295013.0,50,303373.0,4918.638958085865,1294
0.0,300955.0,50,303373.0,3419.5683938181437,1369
0.2,343059.5,50,343733.0,952.4728342582795,1417
0.3,347985.39999999997,50,357459.0,5901.044678698849,1466
0.0,347985.39999999997,50,357459.0,5901.044678698849,1507
0.1,352038.8333333333,50,372306.0,11244.545049341334,1578
0.1,361853.6,50,383154.0,15463.992702403862,1617
0.2,385398.5,50,396731.0,10342.677167929009,1682
0.0,385398.5,50,396731.0,10342.677167929009,1733
0.0,389762.6666666667,50,396731.0,6795.6421575398845,1790
0.0,393067.0,50,396731.0,5181.678492535019,1835
0.1,437186.0,50,437186.0,0.0,1904
0.0,437186.0,50,437186.0,0.0,1947
0.0,437186.0,50,437186.0,0.0,2001
0.0,437186.0,50,437186.0,0.0,2053
0.0,0.0,50,0.0,0.0,2113
0.0,0.0,50,0.0,0.0,2158
0.1,490043.0,50,490043.0,0.0,2227
0.0,490043.0,50,490043.0,0.0,2269
0.1,503185.0,50,516327.0,18585.594636707214,2319
0.0,503185.0,50,516327.0,18585.594636707214,2370
0.2,527768.3333333333,50,534897.0,10008.024047399833,2426
0.0,527768.3333333333,50,534897.0,10008.024047399833,2485
0.0,533489.0,50,534897.0,1991.2126958213178,2560
0.2,550087.5,50,567309.0,19207.481138001065,2609
0.2,571215.0,50,576695.0,5311.384753527087,2648
