throughput,latency,threads,p99 latency,std dev,errors
0.0,198580.57692307694,100,210178.0,7631.2518929626585,714
0.5,205119.14285714284,100,227841.0,10079.135382209628,783
0.3,208550.41379310345,100,233914.0,11506.595423983217,808
0.0,226149.875,100,233914.0,4050.88355221073,865
1.0,241741.22222222222,100,255847.0,14607.818005742298,915
1.0,255060.60869565216,100,264948.0,11585.293650843927,964
0.1,259340.14285714284,100,265994.0,5340.617158023165,1016
0.0,259340.14285714284,100,265994.0,5340.617158023165,1074
0.6,272716.5294117647,100,291126.0,12348.830355126995,1109
0.2,289123.77777777775,100,303443.0,10522.361566893833,1161
0.0,292015.0,100,303443.0,6368.457942973995,1214
0.7,304505.4666666667,100,322039.0,14568.388825843178,1275
0.3,318274.0833333333,100,329635.0,8772.238404693973,1331
0.0,321535.0,100,329635.0,4762.314773300899,1385
0.1,324514.45454545453,100,354309.0,10865.556638880831,1433
0.0,334549.25,100,354309.0,13350.488290071391,1492
0.1,359889.0,100,365469.0,7891.3116780418695,1551
0.3,372917.0,100,383289.0,12687.209228195143,1614
0.0,377569.0,100,383289.0,8387.272739097018,1677
0.0,377569.0,100,383289.0,8387.272739097018,1736
0.0,381602.3333333333,100,383289.0,2812.9787296268937,1771
0.0,0.0,100,0.0,0.0,1829
0.0,0.0,100,0.0,0.0,1895
0.0,0.0,100,0.0,0.0,1955
0.0,0.0,100,0.0,0.0,2020
0.0,0.0,100,0.0,0.0,2073
0.0,0.0,100,0.0,0.0,2107
0.1,481002.0,100,481002.0,0.0,2162
0.0,481002.0,100,481002.0,0.0,2236
0.0,481002.0,100,481002.0,0.0,2303
0.0,481002.0,100,481002.0,0.0,2367
0.3,522763.6666666667,100,525487.0,4716.951699279242,2415
0.2,525332.6,100,531094.0,5031.7947394543025,2449
0.0,525332.6,100,531094.0,5031.7947394543025,2512
0.2,533030.5714285714,100,554691.0,13844.2135066983,2583
0.3,549370.4285714285,100,561831.0,14436.031551377993,2652
0.0,557444.2,100,561831.0,5058.702274299209,2707
0.5,568750.6,100,581546.0,12420.223885976362,2756
0.2,576862.2,100,592892.0,12182.99806013829,2803
0.1,585654.625,100,599285.0,8046.138877703125,2866
0.3,592320.2727272727,100,614309.0,13365.625732384615,2933
0.0,602539.6666666666,100,614309.0,8946.453815153054,3004
0.0,607392.75,100,614309.0,6259.907367525497,3072
0.0,610095.3333333334,100,614309.0,3867.288498849463,3127
0.0,0.0,100,0.0,0.0,3174
0.2,657355.5,100,658451.0,1549.2709575797257,3243
0.0,657355.5,100,658451.0,1549.2709575797257,3311
0.0,657355.5,100,658451.0,1549.2709575797257,3374
0.1,668148.3333333334,100,689734.0,18725.807708436325,3437
0.1,696952.5,100,704171.0,10208.500599990186,3497
0.0,696952.5,100,704171.0,10208.500599990186,3539
0.0,696952.5,100,704171.0,10208.500599990186,3603
0.1,714963.5,100,725756.0,15262.899871911628,3669
0.0,725756.0,100,725756.0,0.0,3745
0.0,725756.0,100,725756.0,0.0,3814
0.0,725756.0,100,725756.0,0.0,3871
0.0,0.0,100,0.0,0.0,3914
0.0,0.0,100,0.0,0.0,3985
0.0,0.0,100,0.0,0.0,4046
0.0,0.0,100,0.0,0.0,4111
0.0,0.0,100,0.0,0.0,4179
0.0,0.0,100,0.0,0.0,4239
0.0,0.0,100,0.0,0.0,4283
0.0,0.0,100,0.0,0.0,4360
0.0,0.0,100,0.0,0.0,4430
0.0,0.0,100,0.0,0.0,4492
0.0,0.0,100,0.0,0.0,4560
0.0,0.0,100,0.0,0.0,4621
0.0,0.0,100,0.0,0.0,4664
0.0,0.0,100,0.0,0.0,4735
0.0,0.0,100,0.0,0.0,4800
0.0,0.0,100,0.0,0.0,4862
0.0,0.0,100,0.0,0.0,4937
0.0,0.0,100,0.0,0.0,5000
0.0,0.0,100,0.0,0.0,5051
0.0,0.0,100,0.0,0.0,5108
0.0,0.0,100,0.0,0.0,5176
0.0,0.0,100,0.0,0.0,5242
0.0,0.0,100,0.0,0.0,5302
0.0,0.0,100,0.0,0.0,5377
0.0,0.0,100,0.0,0.0,5428
0.0,0.0,100,0.0,0.0,5479
0.0,0.0,100,0.0,0.0,5538
0.0,0.0,100,0.0,0.0,5609
0.0,0.0,100,0.0,0.0,5668
0.0,0.0,100,0.0,0.0,5745
0.0,0.0,100,0.0,0.0,5806
0.0,0.0,100,0.0,0.0,5856
0.0,0.0,100,0.0,0.0,5914
0.0,0.0,100,0.0,0.0,5984
0.0,0.0,100,0.0,0.0,6046
