throughput,latency,threads,p99 latency,std dev,errors
0.0,37281.75,200,125037.0,21992.142129872806,231
0.1,39167.7,200,125037.0,22662.795681817133,664
0.0,45720.833333333336,200,64627.0,12580.421796055434,910
0.5,70672.33333333333,200,75696.0,5544.165533844265,998
1.2,91069.33333333333,200,170166.0,25721.361307858722,1073
9.1,98896.75925925926,200,167421.5399999999,13168.748195087275,1127
0.0,98896.75925925926,200,167421.5399999999,13168.748195087275,1170
0.0,100208.18446601942,200,168946.23999999982,11971.93594165659,2290
0.3,101154.70212765958,200,139672.0,10685.924356422247,2500
0.0,134104.3333333333,200,134160.0,81.32855177201506,2590
0.0,134104.3333333333,200,134160.0,81.32855177201506,2653
0.0,134104.3333333333,200,134160.0,81.32855177201506,2729
0.2,151987.5,200,165915.0,19696.45938995128,2856
0.2,164967.25,200,179577.0,18860.540401854872,3259
0.1,171306.19999999998,200,196662.0,21626.405704601028,3469
0.0,171306.19999999998,200,196662.0,21626.405704601028,3568
0.0,184185.33333333334,200,196662.0,10927.365113939104,3641
0.2,212152.66666666666,200,220946.0,13456.183312267016,3710
0.0,219898.0,200,220946.0,1482.0958133670035,3837
0.5,232907.7142857143,200,244676.0,9559.467047806336,4235
0.0,232907.7142857143,200,244676.0,9559.467047806336,4453
0.2,245284.0,200,263381.0,12731.25833005782,4552
0.1,246170.25,200,263381.0,12050.454760239192,4635
0.1,270909.0,200,304832.0,23185.96226167894,4710
0.2,277704.0,200,304832.0,20854.02333363996,4839
0.0,284948.5,200,304832.0,22690.695383791124,5228
0.3,298132.0,200,324104.0,16868.056722693338,5438
0.3,306710.0,200,326839.0,19649.23485969437,5532
0.1,314217.71428571426,200,328432.0,19566.149175845218,5621
0.1,319888.25,200,359582.0,24194.69769982081,5713
0.1,334322.8333333333,200,359582.0,15850.400845614808,5854
0.1,346408.5,200,359582.0,13025.192986414188,6243
0.0,352400.6666666667,200,359582.0,6248.768705379752,6438
0.0,348810.0,200,349417.0,858.4276323604687,6533
0.2,378072.3333333333,200,393883.0,24860.51860547831,6635
0.1,389685.0,200,393883.0,4930.817782072259,6732
0.0,389685.0,200,393883.0,4930.817782072259,6887
0.1,397505.25,200,420966.0,16150.352408435756,7239
0.0,402610.5,200,420966.0,25958.597044139347,7421
0.3,404823.5,200,441438.0,48811.688910888275,7523
0.1,412902.6,200,445219.0,45970.58858444168,7630
0.2,426456.0,200,458009.0,47499.619371106535,7746
0.3,434934.44444444444,200,475307.0,41360.88406668525,7903
0.2,455902.5,200,475307.0,14577.977382731411,8250
0.0,457428.71428571426,200,475307.0,15039.833163018417,8425
0.0,457362.39999999997,200,475307.0,18417.104218633285,8529
0.0,465569.0,200,468845.0,4632.963630334259,8653
0.0,0.0,200,0.0,0.0,8770
0.0,0.0,200,0.0,0.0,8933
0.1,537282.0,200,537282.0,0.0,9268
0.3,549241.5,200,556616.0,8338.37020446242,9442
0.1,550034.2,200,556616.0,7435.602174672875,9552
0.0,550034.2,200,556616.0,7435.602174672875,9672
0.2,564314.3333333334,200,586943.0,17289.802632380353,9784
0.1,578607.75,200,588229.0,16958.68696519083,9959
0.3,593954.1666666666,200,607378.0,8871.25527570178,10281
0.1,581969.2857142858,200,607378.0,32726.81227838669,10462
0.4,584580.3333333334,200,618300.0,42204.89763937356,10583
0.1,589295.5555555555,200,630666.0,44945.10971204518,10709
0.1,589819.4285714285,200,630666.0,53412.49199658928,10827
0.1,610376.0,200,653956.0,44555.75300302607,10996
0.0,637399.0,200,653956.0,14421.832650533703,11312
0.1,650952.0,200,671325.0,22029.154250674263,11498
0.1,666510.0,200,674249.0,10969.942160285076,11627
0.3,641722.0,200,676660.0,44634.25237975876,11750
0.2,630087.2857142857,200,676660.0,41509.094472232966,11881
0.3,653178.6666666666,200,717111.0,55416.33902559786,12053
0.4,664778.25,200,723323.0,58057.292402536616,12349
0.1,684654.6,200,732243.0,54958.24333113682,12548
0.3,713711.0909090909,200,745901.0,34674.092716189545,12692
0.4,704852.5833333334,200,745901.0,44156.96711929208,12808
0.0,710656.375,200,745901.0,42246.05544709808,12938
0.0,707572.5714285714,200,745901.0,44647.794114443255,13123
0.0,686682.75,200,736385.0,49993.80385191082,13414
0.1,785086.0,200,785086.0,0.0,13604
0.0,785086.0,200,785086.0,0.0,13754
0.1,792631.0,200,800176.0,10670.241328105001,13875
0.0,792631.0,200,800176.0,10670.241328105001,14023
0.1,806597.0,200,813018.0,9080.665283997641,14200
0.0,806597.0,200,813018.0,9080.665283997641,14486
0.0,813018.0,200,813018.0,0.0,14665
0.0,813018.0,200,813018.0,0.0,14822
0.1,872900.0,200,872900.0,0.0,14941
0.0,872900.0,200,872900.0,0.0,15090
0.1,876875.5,200,880851.0,5622.206017214239,15260
0.0,876875.5,200,880851.0,5622.206017214239,15544
0.1,891885.0,200,902919.0,15604.43244722473,15732
0.0,891885.0,200,902919.0,15604.43244722473,15887
0.0,902919.0,200,902919.0,0.0,16016
0.0,902919.0,200,902919.0,0.0,16167
0.0,0.0,200,0.0,0.0,16342
0.0,0.0,200,0.0,0.0,16614
0.0,0.0,200,0.0,0.0,16818
0.0,0.0,200,0.0,0.0,16946
0.0,0.0,200,0.0,0.0,17091
0.0,0.0,200,0.0,0.0,17241
0.0,0.0,200,0.0,0.0,17426
0.0,0.0,200,0.0,0.0,17692
0.0,0.0,200,0.0,0.0,17895
0.0,0.0,200,0.0,0.0,18035
0.0,0.0,200,0.0,0.0,18174
0.0,0.0,200,0.0,0.0,18328
0.0,0.0,200,0.0,0.0,18514
0.0,0.0,200,0.0,0.0,18776
0.0,0.0,200,0.0,0.0,18969
0.0,0.0,200,0.0,0.0,19105
0.0,0.0,200,0.0,0.0,19243
0.0,0.0,200,0.0,0.0,19406
0.0,0.0,200,0.0,0.0,19593
0.0,0.0,200,0.0,0.0,19852
0.0,0.0,200,0.0,0.0,20043
0.0,0.0,200,0.0,0.0,20190
0.0,0.0,200,0.0,0.0,20348
0.0,0.0,200,0.0,0.0,20735
0.0,0.0,200,0.0,0.0,20928
0.0,0.0,200,0.0,0.0,21185
0.0,0.0,200,0.0,0.0,21382
0.0,0.0,200,0.0,0.0,21532
0.0,0.0,200,0.0,0.0,21660
0.0,0.0,200,0.0,0.0,21843
