throughput,latency,threads,p99 latency,std dev,errors
17.1,96789.30860033726,50,200262.12,66107.592936431,6579
32.8,93413.13732004429,50,208010.4,71476.80142466715,6768
20.7,89480.540625,50,213906.84,74822.9391207104,6934
26.0,81101.63561076605,50,224339.51,76869.02128512086,7076
17.2,75034.3019648397,50,227663.0,75349.22820836383,7272
11.6,68623.19072847682,50,232586.19999999987,71797.53280105807,7460
27.8,73178.8196125908,50,262184.01999999996,75759.76100847175,7608
11.8,80290.37134502923,50,265821.6,79632.84548825251,7770
24.1,82034.43559096944,50,276624.72,81949.0313959732,7951
26.9,79571.15342163356,50,280053.1099999999,81256.21694461239,8116
25.0,73637.78018223234,50,283302.07,78367.86870594752,8526
10.5,69114.1965317919,50,290559.36000000016,76356.53174836827,9037
12.4,72140.98930481283,50,316451.25,80289.31083247862,9416
6.3,78148.24354243542,50,325373.53,87338.73085888295,9946
11.4,89202.79802955665,50,330872.04,94173.24138567725,10446
7.4,97876.39733333333,50,338723.92000000004,95117.15413942085,10794
14.5,108788.03282828281,50,354261.59999999986,95151.85398025585,11054
26.9,107209.51993355482,50,372034.89999999997,92754.35331131417,11405
34.5,105704.2569027611,50,375512.16,100658.03714758735,12090
11.7,104505.66438356164,50,382170.82999999996,104471.05382447789,12284
14.5,95575.45205479451,50,384214.54,102081.91829709528,12446
55.6,87497.23989681857,50,389894.9599999999,98374.30140907198,12642
11.1,79818.20344456403,50,402757.7000000002,90998.23419545159,12843
22.3,76835.33429951691,50,405035.6400000002,85494.15010308861,12969
21.0,78024.55727272728,50,407278.29,90150.47621259159,13131
23.8,72068.06393861893,50,434793.0699999999,94375.45863143384,13396
37.6,73517.74594078318,50,435097.92,95015.71658097512,13490
24.0,70144.08834586466,50,442141.5999999999,94907.4279595054,13565
21.3,65595.77881911902,50,446433.8399999998,89975.2733214728,13996
27.1,66996.15181818181,50,434093.57,87059.52412988048,14347
41.1,62838.6167400881,50,477704.3200000006,88756.63827121099,14506
18.8,63159.61957525392,50,493750.8800000001,89186.0873986412,14682
20.8,65664.84415584416,50,498217.49,92059.49922338671,14986
26.3,62473.79158878505,50,500577.31,91524.3372142896,15405
21.0,64637.90218642117,50,500630.5,85863.05730279628,15610
13.8,66773.03663003663,50,498258.19999999995,85406.11298298114,15716
15.4,66764.14379084967,50,441192.8200000009,80582.69818277664,15848
18.1,66834.13323572474,50,382228.19999999827,77581.65422164368,16147
53.1,68503.46115537848,50,389976.45000000077,82211.01337979412,16269
22.9,71321.501369863,50,516814.2399999998,88914.1801193381,16647
12.2,70679.75823142049,50,518544.15999999945,91330.43429700902,16992
35.4,71745.37459546926,50,493737.54999999265,92451.64116847567,17084
14.5,71113.80470588236,50,485087.65000000055,93083.34114623573,17270
13.1,67352.0159574468,50,409968.79000000097,85066.04416865211,17479
26.3,69692.50167973124,50,373750.65999999986,81830.73383421838,17581
19.6,68561.00952380952,50,329883.19999999984,75010.6738140789,17919
29.9,69317.16310461191,50,431406.90000000084,84551.58169360973,18127
