Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
default,350,49.61416666666667,30.905655306784016,279,50.91302058062489,14
thread_50,350,49.3375,30.163094333248882,277,48.210973166275735,8
thread_100,350,49.5575,29.939766937395955,277,47.652021995664185,4
thread_200,350,49.87833333333333,30.199802853610453,277,48.32999217647106,12
default,700,99.36583333333333,32.301554021754626,299,59.447650898022616,10
thread_50,700,98.43416666666667,31.88092718483589,303,59.38618449540828,18
thread_100,700,98.64166666666667,30.742485427050774,283,55.3146101386802,17
thread_200,700,99.0125,31.441038589403696,291,58.16400929620393,1604
default,350,99.03416666666666,31.44460245201572,291,58.165828315375684,116344
default,1050,148.20333333333335,34.48075279458402,335,74.26334056911452,24
thread_50,350,148.20333333333335,34.48075279458402,335,74.26334056911452,54902
thread_100,350,49.336666666666666,5.569353422066077,275,0.0,10
thread_50,1050,49.336666666666666,7.599503411931626,275,3.970100796784523,10
thread_100,1050,49.52333333333333,6.5560678468062195,275,0.13093297866297743,4
thread_200,350,49.52333333333333,6.500740391734536,275,7.84110803159104,4
default,700,98.42666666666666,32.62456820644812,305,61.413739196233145,14
thread_200,1050,98.42666666666666,32.62456820644812,305,61.413739196233145,64709
default,1400,31.383333333333333,40901.44160913436,380927,79194.89983307652,17644
thread_50,700,31.383333333333333,40901.44160913436,380927,79194.89983307652,167274
thread_100,700,98.87083333333334,32.41895570820515,305,60.26487574522215,20
-1,-1
thread_200,700,98.58666666666667,30.99158101163105,289,55.77135121699956,8
-1,-1
default,1050,0.16833333333333333,278029.30693069304,876543,238086.44229620096,21841
thread_200,1400,0.16833333333333333,278029.30693069304,876543,238086.44229620096,119011
default,1750,44.1875,35046.78012258369,282623,59247.85491046024,28204
thread_50,1050,44.1875,35046.78012258369,282623,59247.85491046024,34103
thread_100,1050,148.69583333333333,33.73409364754673,325,72.51830010675194,18
-1,-1
thread_100,1750,2.7325,433859.3327233913,1245183,295623.91947119584,38973
-1,-1
default,1400,0.5575,642651.8385650225,1286143,347582.63945418084,30032
thread_200,1750,0.5575,642651.8385650225,1286143,347582.63945418084,48980
default,350,7.9575,43815.18462666248,860159,150293.97485408766,4071
thread_50,1400,7.9575,43815.18462666248,860159,150293.97485408766,33073
thread_50,350,2.754166666666667,166464.93918305598,1097727,100598.55188886306,23695
thread_100,1400,2.754166666666667,158735.03661119516,1097727,116327.26440876884,23695
thread_100,350,0.06583333333333333,386287.7974683544,729087,152304.0953188577,7857
-1,-1
