throughput,latency,threads,p99 latency,std dev,errors
0.2,205733.57142857142,100,222118.0,9158.919131488325,1860
0.3,211450.09523809524,100,231137.0,8288.838295592222,1928
0.0,213292.66666666666,100,231137.0,7460.521484690557,2060
0.2,230099.0,100,247333.0,12124.250643510577,2303
0.3,243633.125,100,258722.0,14590.802381123525,2378
1.2,262619.88235294115,100,272675.0,7293.226119852183,2436
0.9,267953.6538461538,100,282397.0,9644.165659889124,2511
0.3,271986.81481481483,100,289792.0,9545.685497555092,2584
0.3,276308.6296296296,100,298551.0,11110.966360894738,2711
0.0,284209.39999999997,100,298551.0,8544.386451265615,2946
0.1,296943.8571428571,100,317723.0,9909.93184350211,3031
0.0,302320.25,100,317723.0,10319.128302171004,3106
0.1,326211.5,100,334700.0,12004.551824204018,3193
0.0,326211.5,100,334700.0,12004.551824204018,3268
0.0,334700.0,100,334700.0,0.0,3402
0.0,334700.0,100,334700.0,0.0,3624
0.0,0.0,100,0.0,0.0,3705
0.0,0.0,100,0.0,0.0,3776
0.0,0.0,100,0.0,0.0,3877
0.0,0.0,100,0.0,0.0,3957
0.0,0.0,100,0.0,0.0,4093
0.2,428850.0,100,432374.0,4983.688593802786,4293
0.0,428850.0,100,432374.0,4983.688593802786,4389
0.0,428850.0,100,432374.0,4983.688593802786,4461
0.0,428850.0,100,432374.0,4983.688593802786,4563
0.0,0.0,100,0.0,0.0,4644
0.0,0.0,100,0.0,0.0,4779
0.0,0.0,100,0.0,0.0,4979
0.1,503355.0,100,503355.0,0.0,5079
0.2,506203.6666666667,100,507934.0,2485.9228333424458,5156
0.1,509205.0,100,518209.0,6336.551270210002,5263
0.2,515321.6666666667,100,529054.0,10713.66399821586,5346
0.1,520674.8333333333,100,535474.0,11531.609157731054,5467
0.0,527198.25,100,535474.0,7165.733196958982,5659
0.3,543040.1666666666,100,556842.0,14407.711052303437,5774
0.1,554357.7999999999,100,568658.0,11933.829821142917,5853
0.4,566956.5,100,576188.0,9436.298956688473,5974
0.0,566956.5,100,576188.0,9436.298956688473,6065
0.3,584330.75,100,602761.0,14977.591631214565,6185
0.1,589361.25,100,608902.0,15702.418146351125,6350
0.4,610984.25,100,621258.0,8185.424951879843,6464
0.1,612915.2222222221,100,628363.0,9601.24561942066,6551
0.2,623692.5,100,640509.0,11519.582222087247,6682
0.1,628506.625,100,647415.0,12464.218168564423,6780
0.0,638933.0,100,647415.0,7882.790199753723,6894
0.1,649558.75,100,670866.0,14637.628231718416,7059
0.1,666318.0,100,680673.0,17089.08625409796,7167
0.1,678981.0,100,685404.0,7415.221439714393,7264
0.0,678981.0,100,685404.0,7415.221439714393,7396
0.0,683038.5,100,685404.0,3345.322181793556,7501
0.1,702949.0,100,720494.0,24812.37695183595,7616
0.0,720494.0,100,720494.0,0.0,7779
0.1,727327.0,100,734160.0,9663.321271695359,7890
0.0,727327.0,100,734160.0,9663.321271695359,7986
0.0,734160.0,100,734160.0,0.0,8122
0.0,734160.0,100,734160.0,0.0,8234
0.0,0.0,100,0.0,0.0,8351
0.0,0.0,100,0.0,0.0,8504
0.0,0.0,100,0.0,0.0,8615
0.0,0.0,100,0.0,0.0,8711
0.0,0.0,100,0.0,0.0,8838
0.0,0.0,100,0.0,0.0,8954
0.0,0.0,100,0.0,0.0,9066
0.0,0.0,100,0.0,0.0,9221
0.0,0.0,100,0.0,0.0,9334
0.0,0.0,100,0.0,0.0,9431
0.0,0.0,100,0.0,0.0,9562
0.0,0.0,100,0.0,0.0,9678
0.0,0.0,100,0.0,0.0,9782
0.0,0.0,100,0.0,0.0,9931
0.0,0.0,100,0.0,0.0,10041
0.0,0.0,100,0.0,0.0,10149
0.0,0.0,100,0.0,0.0,10273
0.0,0.0,100,0.0,0.0,10389
0.0,0.0,100,0.0,0.0,10499
0.0,0.0,100,0.0,0.0,10640
0.0,0.0,100,0.0,0.0,10743
