throughput,latency,threads,p99 latency,std dev,errors
0.1,48266.3125,200,90945.0,17139.807994718998,988
0.0,61258.125,200,90945.0,15258.920907713531,1083
0.0,68235.4,200,90945.0,14726.270074258451,1129
0.0,70401.0,200,70401.0,0.0,1173
0.0,0.0,200,0.0,0.0,1348
0.5,124661.4,200,126789.0,2052.9478317775147,1760
0.9,131511.0,200,139650.0,6509.562929910235,2073
0.0,131511.0,200,139650.0,6509.562929910235,2239
0.0,131511.0,200,139650.0,6509.562929910235,2289
0.0,135316.3333333333,200,139650.0,4597.537221165262,2341
0.1,161818.0,200,161818.0,0.0,2518
0.1,172582.0,200,183346.0,15222.594785383995,2802
1.5,190730.70588235292,200,203038.0,9748.362463541669,3042
0.1,191034.88888888888,200,203038.0,9544.947803689834,3159
0.0,192753.5294117647,200,203038.0,6349.028273264018,3226
0.0,193341.5,200,203038.0,6060.415827317462,3289
0.0,196206.0,200,196206.0,0.0,3446
0.3,254737.0,200,272962.0,15805.517232915852,3711
1.5,252864.72222222222,200,272962.0,7656.441799945175,3964
0.3,254951.28571428568,200,272962.0,8796.420244297431,4086
0.1,255269.4090909091,200,272962.0,8713.142042526722,4164
0.1,256648.69999999998,200,281258.0,9545.38904999631,4238
0.0,269124.0,200,281258.0,7233.776365080689,4391
0.1,283666.6666666667,200,307792.0,23015.722828825805,4653
1.4,304874.9375,200,317263.0,7645.274003973523,4881
0.8,311116.7826086957,200,327634.0,8344.730726940104,5044
0.0,311116.7826086957,200,327634.0,8344.730726940104,5124
0.0,311267.9090909091,200,327634.0,8508.827454943992,5216
0.0,319868.125,200,327634.0,6662.210324713134,5373
0.1,366328.0,200,366328.0,0.0,5629
0.5,370493.8333333333,200,377846.0,6394.183620030525,5858
0.5,376204.36363636365,200,392993.0,8878.048549909234,6016
0.1,378079.8333333333,200,398710.0,10670.658536663075,6102
0.0,379148.1818181818,200,398710.0,10496.817849407333,6193
0.0,385665.8333333333,200,398710.0,8455.717791333072,6358
0.0,398710.0,200,398710.0,0.0,6615
0.2,442062.5,200,442621.0,789.8382745853736,6839
0.8,436499.0,200,447863.0,7007.795231026658,6995
0.2,438792.6666666667,200,451688.0,8321.438963559272,7089
0.2,441994.07142857136,200,465616.0,11305.489275733991,7197
0.0,441982.6666666667,200,465616.0,12288.014747071327,7367
0.0,455731.75,200,465616.0,7365.393059210531,7602
0.1,471479.6666666667,200,492034.0,18339.55960031029,7839
0.4,495828.39999999997,200,505319.0,6216.182212580323,7990
0.6,503166.36363636365,200,522605.0,10011.467767242993,8109
0.0,503166.36363636365,200,522605.0,10011.467767242993,8232
0.4,511600.21428571426,200,536573.0,14683.666185352253,8390
0.3,523564.1538461539,200,549067.0,16265.155321761476,8618
0.1,537832.0,200,552010.0,10536.458797907388,8842
0.1,540261.111111111,200,559694.0,12257.449596515218,8999
0.2,555113.2857142858,200,575453.0,13862.69473219746,9114
1.1,571288.2666666666,200,587666.0,11171.372357610364,9247
0.6,578026.5499999999,200,593545.0,11996.822366447926,9406
0.2,580112.5238095238,200,608292.0,12739.815107053348,9649
0.1,582366.6,200,608292.0,14039.160465228008,9873
0.0,592529.111111111,200,608292.0,10774.656797834032,10038
0.2,609845.7999999999,200,637850.0,23843.90671010101,10158
0.4,635446.0,200,653196.0,16060.900877597122,10298
0.0,640017.1666666666,200,653196.0,11576.713737787017,10463
0.1,641677.2857142857,200,653196.0,11444.45502873605,10719
0.0,646411.4,200,653196.0,8145.397645296391,10939
0.2,672747.0,200,693157.0,20768.324222238054,11111
0.0,672747.0,200,693157.0,20768.324222238054,11235
0.1,683751.0,200,693157.0,9886.204074365449,11372
0.2,695678.0,200,718824.0,18149.480639952206,11525
0.0,703929.0,200,718824.0,17503.718490652205,11773
0.0,703929.0,200,718824.0,17503.718490652205,12011
0.0,713568.5,200,718824.0,7432.3993770518,12175
0.1,762522.0,200,762522.0,0.0,12294
0.1,751009.0,200,762522.0,16281.840743601442,12452
0.0,751009.0,200,762522.0,16281.840743601442,12599
0.0,751009.0,200,762522.0,16281.840743601442,12853
0.0,739496.0,200,739496.0,0.0,13084
0.0,0.0,200,0.0,0.0,13245
0.0,0.0,200,0.0,0.0,13372
0.0,0.0,200,0.0,0.0,13534
0.0,0.0,200,0.0,0.0,13683
0.0,0.0,200,0.0,0.0,13929
0.0,0.0,200,0.0,0.0,14148
0.0,0.0,200,0.0,0.0,14324
0.0,0.0,200,0.0,0.0,14450
0.0,0.0,200,0.0,0.0,14618
0.0,0.0,200,0.0,0.0,14769
0.0,0.0,200,0.0,0.0,15005
0.0,0.0,200,0.0,0.0,15223
0.0,0.0,200,0.0,0.0,15383
0.0,0.0,200,0.0,0.0,15518
0.0,0.0,200,0.0,0.0,15689
0.0,0.0,200,0.0,0.0,15845
0.0,0.0,200,0.0,0.0,16071
0.0,0.0,200,0.0,0.0,16300
0.0,0.0,200,0.0,0.0,16457
0.0,0.0,200,0.0,0.0,16597
0.0,0.0,200,0.0,0.0,16762
0.0,0.0,200,0.0,0.0,16926
0.0,0.0,200,0.0,0.0,17144
0.0,0.0,200,0.0,0.0,17384
0.0,0.0,200,0.0,0.0,17550
0.0,0.0,200,0.0,0.0,17685
0.0,0.0,200,0.0,0.0,17847
0.0,0.0,200,0.0,0.0,18016
0.0,0.0,200,0.0,0.0,18231
0.0,0.0,200,0.0,0.0,18465
0.0,0.0,200,0.0,0.0,18621
0.0,0.0,200,0.0,0.0,18748
0.0,0.0,200,0.0,0.0,18912
0.0,0.0,200,0.0,0.0,19087
0.0,0.0,200,0.0,0.0,19286
0.0,0.0,200,0.0,0.0,19529
0.0,0.0,200,0.0,0.0,19699
0.0,0.0,200,0.0,0.0,19834
0.0,0.0,200,0.0,0.0,19990
0.0,0.0,200,0.0,0.0,20167
0.0,0.0,200,0.0,0.0,20359
0.0,0.0,200,0.0,0.0,20591
0.0,0.0,200,0.0,0.0,20757
0.0,0.0,200,0.0,0.0,20896
0.0,0.0,200,0.0,0.0,21371
0.0,0.0,200,0.0,0.0,21562
0.0,0.0,200,0.0,0.0,21771
