Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
shopping_default,350,49.435,29.62069721182698,275,47.79084192036014,8
shopping_thread_50,350,49.41916666666667,29.551709019779775,277,46.8409963250115,12
shopping_thread_100,350,49.5325,29.940830094718955,277,47.74312298628752,10
shopping_thread_200,350,49.1075,29.55901169203618,275,46.29613880779107,10
shopping_thread_300,350,49.376666666666665,29.660146492945387,277,46.71388792227461,8
shopping_default,700,99.32,33.35709491206873,311,64.23014788952543,10
shopping_thread_50,700,98.85583333333334,31.63577431781972,297,58.9435023184755,26
shopping_thread_100,700,98.7025,31.71436893695702,295,60.0743915034095,22
shopping_thread_200,700,98.5775,31.25664240487603,287,57.99023321615302,10
shopping_thread_300,700,98.64666666666666,31.666731432047037,293,59.0076812292882,24
shopping_default,1050,0.13416666666666666,383840.9937888199,741375,170382.41106144662,21768
shopping_thread_50,1050,148.24583333333334,33.54351724331769,323,74.8289560831321,28
shopping_thread_100,1050,148.5325,33.80854919518175,321,75.09462104752778,20
shopping_thread_200,1050,148.11,33.70190511556726,319,73.627894290493,24
shopping_thread_300,1050,148.50166666666667,32.9575762337123,309,71.48851924730715,26
shopping_default,1400,0.21083333333333334,475905.0118577075,1138687,309409.23451539554,29540
shopping_thread_50,1400,39.1925,28652.30968935383,244735,50842.35889924539,13778
shopping_thread_100,1400,42.7725,14756.749956163423,540671,85857.51977397596,18207
shopping_thread_200,1400,3.0433333333333334,87680.6456736035,966655,214175.81840175163,26519
shopping_thread_300,1400,13.454166666666667,10613.054815732425,495615,79287.57880999614,27465
browsing_default,350,49.48083333333334,22.100611347828284,170,33.283665623786305,10
browsing_thread_50,350,49.51833333333333,21.58929352764969,161,31.517741679888065,1
browsing_thread_100,350,49.776666666666664,21.394729793075737,166,32.19126887556792,10
browsing_thread_200,350,49.6975,21.413887351811795,180,33.0181894114225,0
browsing_thread_300,350,49.21,21.220195759669444,169,32.29213189099764,4
browsing_default,700,98.905,21.361483241494362,193,38.010633416693224,6
browsing_thread_50,700,99.42583333333333,20.393283100468523,178,35.33220417482737,8
browsing_thread_100,700,99.06833333333333,19.683551757204622,156,33.94921987218159,18
browsing_thread_200,700,99.19083333333333,20.013383293147047,176,34.5850703684802,10
browsing_thread_300,700,98.70916666666666,20.183054596415396,174,35.383274632089176,14
browsing_default,1050,148.835,20.42370746128263,172,37.38898768541821,20
browsing_thread_50,1050,148.49833333333333,19.460426042941,162,35.73117093072724,9
browsing_thread_100,1050,148.4625,19.32668743509865,162,35.57186909281416,16
browsing_thread_200,1050,148.46,19.46543962459024,164,36.815010431965256,8
browsing_thread_300,1050,148.40833333333333,19.444696501768767,163,35.165789752452994,12
browsing_default,1400,197.3675,20.597206564741747,195,48.57277029026697,22
browsing_thread_50,1400,198.13583333333332,19.572751016768798,190,41.62982767442535,10
