throughput,latency,threads,p99 latency,std dev,errors
105.6,3300.764575098814,1,10969.569999999998,1947.5978119529223,0
107.2,3036.4331742243435,1,9672.420000000006,1573.4646355629025,1
93.3,3153.5704681274897,1,7946.459999999995,1555.664418929471,2
100.7,3159.979105211406,1,9947.979999999996,1671.3247796615951,2
98.8,3472.96575,1,10359.919999999998,2066.1297983579952,2
72.1,3912.437345763641,1,11822.039999999997,2364.870770513046,2
84.0,4207.228627671541,1,12493.329999999994,2591.6374095856645,2
93.9,4743.536697247706,1,19054.21,3367.593229396311,2
87.7,4901.4267100977195,1,19296.1,3815.497484385273,2
106.6,4726.951638903815,1,19240.82,3953.2539438080703,2
120.1,3745.132745530247,1,19111.039999999994,4027.3689942915926,2
97.7,3381.1366173258916,1,32079.759999999846,4399.250856347042,9
87.7,2991.4791363415816,1,18474.32,4432.109412494173,11
144.0,2589.315016685206,1,15560.0,4286.927516820908,15
100.1,2548.565075669383,1,15386.64,4272.4233052557365,15
110.6,2276.058544303797,1,6215.0,3087.4543864690468,15
102.6,2131.582239720035,1,6105.159999999982,2300.3128395209346,15
160.1,1797.4419095901985,1,7202.199999999997,1526.1382883330848,15
105.4,2003.599540421976,1,7145.959999999993,1453.7262106003093,15
131.0,1695.4087357243036,1,7106.159999999998,1437.8042902948253,15
141.4,1511.7185350436885,1,5785.599999999995,1290.1622300097697,15
89.6,1662.739837398374,1,5047.75,1247.8209395948234,15
121.7,1862.6057473640687,1,6514.979999999997,1700.3419015379743,17
107.3,2125.6691304347823,1,9253.489999999989,1797.8677578013167,17
58.3,2665.452374635182,1,9570.900000000003,1924.7339547661754,17
61.1,3579.6851320321466,1,12394.199999999999,3001.2594624089347,17
95.8,4433.43503875969,1,19099.219999999998,3831.1640788029245,17
95.6,4922.59749034749,1,19387.579999999994,3962.904342722095,17
140.7,4195.4636317395725,1,20241.04,4489.997376055791,17
111.3,2883.643888137122,1,19979.049999999992,3949.696956074323,17
131.7,2139.710411016065,1,31700.160000000014,4786.051777234319,54
115.9,2000.7860288230584,1,32528.879999999976,6280.664434515821,54
97.5,2063.4502629272565,1,60010.75,6180.933614163263,54
93.9,2545.9403189066056,1,60015.09,6346.041381510959,54
106.9,2862.1349589570254,1,11252.689999999993,5157.987253896999,54
89.5,3268.0193348801236,1,10601.399999999996,1983.9657960572792,54
60.6,3518.4588201766887,1,11338.600000000008,2277.2087573232598,54
0.0,3714.166147859922,1,11281.199999999983,2255.3419191914104,154
5.1,4769.110824742267,1,23508.380000000012,4272.37147042044,308
9.8,9293.19098143236,1,35272.049999999996,11109.50642237851,308
0.4,30616.633986928104,1,48702.320000000014,6142.834823417007,320
5.5,37105.03846153846,1,70091.87999999999,12700.06305847868,363
7.0,47879.39207048458,1,79725.31999999999,14418.019707423538,755
0.0,58644.06201550387,1,82470.29999999994,9191.701372494867,982
7.2,67352.6192893401,1,114888.06,13863.365219764097,1043
6.2,76026.7843137255,1,114605.84999999993,14500.62857997315,1092
0.1,83219.14074074074,1,114889.92,11966.382947167167,1149
5.9,87530.71649484536,1,114888.15,14250.072124789242,1182
0.2,91172.12903225806,1,111700.75,15301.355986443345,1407
19.9,105588.87356321838,1,144296.81999999995,26568.123122733396,1643
6.9,103918.43768996959,1,149563.89999999997,29149.30178560598,1678
8.5,104444.03943661971,1,152132.0,35392.704155345615,1739
0.0,104513.65439093484,1,152140.5,35480.95365017223,1809
4.6,105622.455,1,166760.59,44995.466475018315,1876
0.0,109876.84732824427,1,171433.28000000006,48386.83257290199,2060
7.9,135709.264,1,198684.63999999993,50177.58545408821,2471
0.0,135709.264,1,198684.63999999993,50177.58545408821,2611
11.2,141937.29319371728,1,213920.3999999998,54127.40030499102,2717
1.3,142928.19607843136,1,224708.75,54495.94943939656,2812
9.4,137029.3333333333,1,239939.0,59705.05340938687,2882
