throughput,latency,threads,p99 latency,std dev,errors
6.4,37238.69518716578,1,61333.16000000003,13128.515338271678,83
0.8,45343.915384615386,1,73229.18999999999,10451.45956502231,418
1.2,55620.95294117647,1,76929.0,7385.840225126214,745
5.9,63062.96503496503,1,85489.32,11792.966290179245,793
12.6,76901.96585365853,1,98286.73999999999,14667.126039167606,830
8.0,78576.14079422383,1,110832.19999999995,18213.111915805086,877
3.8,79596.51485148515,1,124863.87999999998,20882.012141674553,923
0.2,81543.56910569106,1,131741.91,23072.64182642088,1162
5.2,89795.37209302325,1,143683.38000000003,34811.73137462906,1251
2.4,100584.87931034483,1,148251.53999999998,39592.60646968786,1321
0.1,109498.45569620252,1,149240.0,39852.07603568202,1394
6.8,114248.69655172413,1,163716.83999999997,41939.61408669152,1489
3.4,124468.61417322834,1,172008.68,42540.718271980164,1552
5.8,133872.18633540373,1,192598.91999999998,45645.48210340824,1790
5.7,142104.32718894008,1,201056.5,47103.84490890988,1854
3.9,151015.43617021275,1,207694.82999999993,46068.03498977823,1944
8.9,146309.71604938273,1,219849.19999999998,53671.40132921982,2015
4.2,148050.1233480176,1,225614.44,57887.29153432045,2106
0.1,142704.76023391812,1,226817.56,61239.661718586256,2179
12.4,144653.2578125,1,248627.06,71276.62473190269,2352
8.1,149910.61693548385,1,261680.22999999995,78574.89472151006,2438
8.9,151213.53559322032,1,268891.56,84087.53190694777,2520
6.9,152514.7162534435,1,279745.04,85488.7089025363,2602
8.6,157051.98769230768,1,287208.92,93159.2793537152,2720
0.0,159587.80327868852,1,288919.25000000006,95654.33484803706,2775
3.9,161796.2680412371,1,313853.64999999997,99658.47692299796,2906
10.0,160398.64888888889,1,324011.2,105083.42733049531,3010
3.0,162863.6923076923,1,332358.0,109313.38952432871,3108
5.7,158247.30088495574,1,331781.06,107450.80881613871,3226
9.0,151386.22382671482,1,343030.7,105292.01670551041,3349
3.9,150192.32407407407,1,349441.79,105850.94696704451,3432
11.2,137391.3154362416,1,364979.06,99475.53404526359,3552
3.6,138928.47292418772,1,368897.81999999966,102292.46533388224,3623
14.2,144511.33130699088,1,384291.2,110985.61400454618,3733
8.2,143438.70967741933,1,389813.10999999987,112914.02262163952,3845
9.4,143613.5451977401,1,395201.19999999995,115531.75482463927,3941
8.4,138937.7437810945,1,416686.77999999997,118744.42545757002,4024
9.3,139881.328611898,1,422814.77999999997,127481.0005387376,4128
7.2,135266.1690962099,1,424569.16,127657.09990173753,4199
0.0,140280.15261044176,1,429251.0,136240.17827032466,4305
8.3,152635.09677419355,1,451035.33999999997,138672.11060061006,4432
6.0,157096.45581395348,1,468616.19999999995,137733.42537621735,4529
0.2,174677.50344827585,1,470346.62,144667.0597752975,4636
6.0,164570.10731707318,1,471627.82,135505.4104411036,4735
0.1,163789.37398373982,1,479154.00000000006,132784.99371524388,4836
9.0,159782.0653594771,1,484573.62000000005,109938.08761398109,4956
7.2,155226.07174887892,1,486597.7199999999,104643.03828926817,5073
9.5,158450.2906976744,1,516628.18000000017,107178.46213793928,5173
3.1,159028.9375,1,520896.28,108780.09363418607,5285
2.2,157556.94999999998,1,525672.4199999999,114176.18246057915,5389
9.2,158725.41666666666,1,547115.07,118368.03881385118,5481
0.4,163149.71812080534,1,550529.5,122385.59215646086,5582
8.2,170728.74,1,571404.7800000003,120007.01715028561,5703
6.8,165034.5487804878,1,561734.66,110646.11199290553,5798
1.2,175852.68072289156,1,571932.7899999999,111004.65293595026,5932
6.2,171139.51339285713,1,571029.25,111625.72152048301,6020
0.0,165150.74647887322,1,564442.2399999999,109394.38359955577,6137
5.6,179286.45384615383,1,598668.57,129979.78475353534,6251
0.1,177878.94117647057,1,625290.5999999999,135289.19998136658,6348
5.8,194890.67826086955,1,637970.76,142087.80059943587,6444
