throughput,latency,threads,p99 latency,std dev,errors
149.5,39.47073705515264,700,339.7999999999993,80.50607806502217,2
153.0,39.21415425798896,700,333.2200000000002,83.1982684735919,2
154.3,38.70922924247436,700,326.0,82.57596796057759,2
145.3,38.60418743768694,700,326.0,80.35488664590727,2
151.7,36.92255502233989,700,324.12000000000074,74.31896019535948,4
141.5,37.03424426450742,700,329.5500000000002,71.707378657029,4
149.3,35.35970733367364,700,304.21000000000004,65.32713881984506,4
154.0,34.07780013413816,700,296.3599999999997,65.1690368460071,4
151.1,34.3010572243665,700,289.7999999999993,64.19111421815768,4
149.9,32.34072480556015,700,272.0,59.243688573252335,4
141.3,32.50503018108652,700,282.3400000000001,62.34467237122319,4
148.3,32.95174398916356,700,277.9300000000003,69.20979853121503,4
151.7,32.606122103839,700,288.8799999999974,69.78625987046702,4
143.3,33.101625320786994,700,295.0,69.88158925594998,5
151.7,34.131764705882354,700,337.46999999999935,78.53656095519938,6
143.4,33.836807320793085,700,340.95999999999907,72.7174596137902,6
142.5,33.7144578313253,700,328.89999999999964,71.1804553630451,6
146.6,34.21653543307087,700,328.0,72.37230290766689,6
149.7,33.63410027472527,700,311.0,67.49506674695066,6
143.5,33.87208104395604,700,311.5,67.16810732002673,6
145.2,35.17641025641026,700,341.0,73.91213456269497,6
144.5,35.45462343455138,700,378.7999999999993,75.70203921653527,8
151.8,35.20868227653392,700,355.95999999999907,70.93514275696866,8
152.3,35.35213876726171,700,348.8599999999997,73.38063589564362,8
149.3,35.063043478260866,700,324.18999999999954,71.32918582952664,8
151.3,34.247230031420536,700,319.0,70.93233532290058,8
152.1,33.49058162590879,700,317.4899999999997,70.6161326653589,10
140.8,32.41128896377422,700,308.64000000000027,66.20084779423394,10
147.4,33.159959418329386,700,321.7000000000007,66.83326049204604,11
143.4,35.32122665752955,700,352.0,73.93464119485235,12
155.1,35.816771774331,700,352.0,77.57188853688695,12
146.3,37.160641891891885,700,366.0,80.7755930971903,12
146.0,35.39634455914707,700,342.7999999999993,76.93522207397935,12
145.4,34.34952766531714,700,313.71000000000004,68.94984371251319,12
150.4,33.692909369154904,700,307.0,67.8428677118705,14
148.5,32.61629679823818,700,293.96000000000004,65.46322430496821,14
146.3,32.84690939881456,700,295.93999999999954,68.95003248260582,15
151.3,31.608214585079633,700,294.3400000000001,69.71305527872306,16
149.8,33.05588185937238,700,305.8400000000001,71.73830766093222,16
147.9,33.625860621326616,700,318.43999999999954,74.38031014813676,16
152.4,33.68684516880093,700,318.8599999999997,72.58474677217546,16
147.6,33.164129161786846,700,308.0,68.95943128094845,16
146.5,33.28482503364737,700,311.5500000000002,69.5645191607515,16
150.1,33.71914822266935,700,317.05000000000103,70.70570019130989,16
156.9,33.32407253368824,700,312.7399999999997,70.07086517324673,16
145.0,34.40551378446116,700,333.28000000000065,76.03718979551762,16
150.3,33.12219824007969,700,318.7600000000002,71.39177397818423,16
156.8,31.81543513957307,700,311.0900000000001,64.75854638417188,16
142.3,31.889449772841996,700,308.5600000000004,67.80494716121494,16
151.3,30.457133344431497,700,292.0,60.06156310894723,16
154.4,30.350859788359784,700,284.0,56.87894804347508,17
148.1,31.640664318067437,700,300.3800000000001,63.545352275365055,18
139.7,33.63561320754717,700,329.0,75.75216310461009,18
143.9,34.36120116021157,700,342.3599999999997,77.42230805433087,18
148.3,34.06189655172413,700,341.0,78.29758803198082,19
151.5,33.64604045251971,700,341.0,76.37778427434951,20
146.3,31.00915254237288,700,300.0,59.378449132267164,20
147.2,32.22012472610821,700,307.6800000000003,65.39107865975902,20
151.6,33.2587998659068,700,341.65999999999985,73.10877015628694,20
151.4,32.73176865046102,700,329.0600000000013,72.45902983295315,20
