throughput,latency,threads,p99 latency,std dev,errors
52.7,418.91640378548897,1,2382.020000000001,578.295643487014,2
49.3,359.0289634146342,1,1973.959999999999,492.44912680670006,2
49.2,347.42070030895985,1,1978.119999999999,461.43526022130254,2
46.2,334.5253292806484,1,1989.5,458.6732316343628,2
46.3,345.93141361256545,1,1766.2299999999989,441.2112536630533,2
42.2,399.57096247960845,1,1810.2699999999993,475.77178710354025,2
50.3,508.93567567567567,1,2165.47,594.4140286906719,2
46.5,480.8327037236913,1,2165.35,583.3590331194944,2
44.7,486.0304844855743,1,2342.2599999999975,613.1979444794017,2
45.3,444.1440042826552,1,2335.1299999999983,597.593050335907,2
55.1,416.7954070981211,1,2255.83,550.7308952250597,2
44.9,430.40684210526314,1,2260.99,557.8275705499005,2
42.9,526.798618490967,1,3084.0200000000004,702.8906657315716,2
43.1,626.3301075268816,1,3085.339999999999,752.5751350288856,2
38.8,643.3659398939304,1,3103.039999999999,769.6230690964582,2
54.8,619.2633630289532,1,3089.3899999999994,760.8873080185933,2
47.7,561.1138828633406,1,2381.0499999999993,654.3879613444741,2
42.6,506.7041870581838,1,2252.999999999999,639.1102077116652,2
50.3,442.22466734902764,1,2245.35,586.6555317557297,2
47.4,415.5287234042553,1,2248.9000000000005,566.6858793161849,4
47.5,565.9105431309904,1,4490.780000000001,969.707382435518,4
42.4,486.49786780383795,1,4491.139999999999,943.0834745638648,4
52.8,459.54497632824825,1,4487.0,933.7948183859701,4
46.9,440.1128691983122,1,4487.539999999999,935.5317333971816,4
44.3,162.512339055794,1,1339.499999999999,260.3525374474805,4
50.7,211.17925012840266,1,1534.04,331.7799844614842,4
48.0,226.9336492890995,1,1535.0,341.8293466538976,4
46.2,211.5813953488372,1,1502.6299999999994,315.7991151911841,4
50.5,221.47799385875126,1,1498.7000000000003,311.9390420856859,4
46.9,192.38413361169103,1,1037.9799999999996,238.7206865825294,4
44.6,204.43304994686505,1,1194.2300000000014,263.47144750291,4
45.3,457.4030966364121,1,3698.0999999999995,776.2210275990899,4
49.0,491.1829924650161,1,3703.3500000000026,782.1936841314861,4
51.1,475.14368421052626,1,3688.6700000000005,778.5548729822772,4
46.8,456.4240374609781,1,3681.4099999999994,772.4656256735303,4
44.0,211.1508643268727,1,1280.0,281.4903271376324,4
50.6,189.5807792207792,1,1056.96,250.38699320707047,4
38.1,200.63064066852365,1,1134.4399999999994,264.0101241626979,4
57.3,233.57631578947368,1,1728.9599999999998,347.37401551222285,4
46.7,239.1318111053451,1,1727.8799999999999,345.8716609921305,4
46.0,229.43062200956936,1,1729.7600000000002,345.7324763377726,4
46.5,224.84028484231942,1,1726.3199999999997,334.91355297164637,4
52.7,224.89786347055755,1,1147.8,281.10026263675496,4
48.5,205.75632421270004,1,1080.3399999999992,261.71694201981,4
44.4,251.0957834461218,1,1523.3599999999997,338.1189035000652,4
45.2,276.5831148400629,1,1680.6000000000004,381.4408561561978,4
35.6,366.0892343120322,1,1803.62,484.8740306079471,4
53.7,483.5852431525992,1,2167.5999999999935,571.2964270171886,4
