throughput,latency,threads,p99 latency,std dev,errors
52.5,488.7821473158552,41,30268.840000000066,4145.835163733943,6
81.2,384.9860724233983,41,8372.349999999158,3819.6365659997573,8
33.5,350.94111726220433,41,5779.399999999476,3667.080763816613,13
15.0,368.27003293084516,41,4066.8799999999096,4173.476562647703,15
22.9,514.8715596330275,41,12129.870000000054,5489.130172714111,17
66.6,689.0565217391304,43,16915.450000000124,6794.565182236256,19
30.4,716.4277242401778,46,12344.0,7434.339474759457,23
29.5,624.4953145917001,48,7542.649999999968,6813.163372248649,26
39.7,470.1877256317689,52,1057.9699999999912,5782.019394971168,32
24.3,416.27602905569,53,4262.399999999989,5348.261227236772,34
19.4,508.643932683791,57,4722.300000000034,5834.089320632471,39
22.9,593.5644402634055,57,4464.239999999923,7162.665336751741,39
5.3,870.4297635605006,57,31129.99999999862,9000.152169883726,43
22.6,1116.434472934473,60,46107.06000000025,11241.954985587805,48
4.1,1029.8051001821493,61,30725.0,11191.638035929915,52
13.4,1426.8127753303963,64,76323.84999999977,13662.07082961403,58
7.6,1711.635220125786,67,121837.03999999925,15206.610271960504,62
6.5,2101.253164556962,68,137167.5599999996,16306.961633993304,65
15.6,1997.1415313225057,71,133397.76000000015,16566.868129476286,70
12.6,1351.8912529550826,72,78394.87999999913,13571.746368660706,73
6.2,924.7750611246943,72,5398.99999999989,10987.043450697452,77
19.6,840.1037037037037,78,3904.8000000001534,9991.515518693002,84
29.3,683.3929098966026,82,663.2400000000121,9240.977942968744,90
11.4,925.1187969924812,85,4079.9000000002825,10719.128324287976,93
12.4,1194.7840440165062,86,7456.200000000242,13604.995627371289,96
3.6,1219.9400352733685,88,3902.200000000444,14544.057291733683,100
5.2,1548.1012269938649,89,63640.34000000113,15853.107313531216,103
21.0,1742.7369668246445,93,66142.65999999885,17711.62906328896,108
12.4,1590.5260663507108,100,39630.789999999484,16122.965878234698,115
36.7,1039.0929614873837,103,6079.840000000395,12519.54740699204,119
23.1,832.7156652360516,104,1046.3999999999992,11244.576207563481,122
13.6,1008.7109557109557,108,1055.1399999999983,13670.211842567522,126
0.0,824.9346049046321,108,1023.4499999999997,12797.790698492838,128
0.0,1340.2779291553131,111,1126.8799999999978,17471.134370918717,134
0.0,3508.316176470588,115,242412.53999999975,28635.301950875433,140
0.0,0.0,117,0.0,0.0,144
8.8,1039.8863636363635,121,83126.0,8854.265978042835,149
13.8,1229.8274336283184,128,80973.28999999992,9835.005955885881,156
11.8,833.8372093023256,128,42024.00000000084,7985.143398396515,158
6.1,1113.0691358024692,130,70824.77999999984,10671.666990985781,162
0.0,1133.3848580441638,134,62168.33999999951,11136.111013992835,168
0.0,965.6536312849162,136,33647.19999999826,11669.297470387342,171
6.5,3823.0714285714284,140,269138.7700000006,30884.98904365772,175
0.5,8536.014285714286,146,310921.0,49603.87279804885,184
4.5,5228.24347826087,147,305917.1600000001,38813.136595246346,186
2.0,6682.859259259259,151,306565.7199999998,43891.59352248139,191
7.2,4185.732394366197,155,290577.3199999999,34210.758831937026,198
2.5,1963.9506172839506,156,111834.59000000134,23470.11133250712,200
0.9,4128.722222222222,159,273605.81000000035,32169.705335955787,205
7.0,1304.1363636363637,166,48854.96999999791,15477.655374438022,214
5.1,1477.948387096774,168,91556.15999999954,16491.281634014493,217
0.0,1734.8384615384614,171,142390.90999999954,18006.65299392062,222
0.0,163.16528925619835,174,2073.58,354.33955812439376,226
0.0,186.19607843137254,176,2026.0,376.38825803193396,229
6.2,7412.66129032258,180,455156.0,57795.8592259885,234
9.1,3066.6470588235293,188,210024.0800000036,36790.30055017193,243
7.8,3428.7229437229435,191,214925.20000000214,36355.873682509104,247
2.1,3152.892857142857,194,148924.29999999964,34813.92879157434,251
0.0,1762.8631578947368,197,29494.10000000107,22882.28833582473,255
0.9,7625.981481481481,200,480312.6499999994,56360.7859927386,258
