throughput,latency,threads,p99 latency,std dev,errors
39.1,313.27295409181636,56,144.95000000000005,3647.0054612784943,19
30.9,370.07992998833134,62,153.54999999999973,4181.085337139829,25
68.0,374.06587473002156,67,175.35000000000014,4398.380111172437,29
54.6,313.3296988577362,67,176.6500000000001,4251.3711393048925,31
10.5,408.8506097560975,69,192.35999999999967,5376.538158300639,34
8.3,433.0431400282885,72,203.34999999999897,5646.510049438197,38
13.2,657.8302540415704,82,215.98000000000022,7685.617431998381,49
11.6,1246.130733944954,90,83061.50999999986,11495.873335843984,58
3.3,1299.2692307692307,95,84854.70000000136,12277.67724077696,65
2.2,1865.4752475247524,97,132586.3199999998,15690.797664962602,68
1.1,2395.065934065934,100,138299.86999999976,18045.010042755377,72
0.0,4484.272727272727,104,155324.0,25107.917218124003,78
0.0,4823.030303030303,110,155324.0,27018.70783999122,86
6.4,1320.8,119,95300.0,10998.651457878455,96
14.3,1381.8454106280192,125,87758.39999999882,13905.618024942212,103
9.1,995.01677852349,127,3014.179999999152,11596.878201913674,106
0.0,995.01677852349,130,3014.179999999152,11596.878201913674,110
3.2,1537.4962406015038,135,59629.37999999722,16665.830029371784,116
9.6,1058.7077625570776,142,1910.2199999999932,13987.584262555714,124
10.4,2103.487068965517,151,139471.5999999974,21529.933418881657,134
9.4,2346.601226993865,157,152053.6000000037,23232.797358651907,140
21.5,1125.1335952848722,160,1259.399999999999,16211.116569409987,145
15.1,1036.113676731794,164,1583.200000000009,15415.73370129791,149
8.8,596.4726277372263,169,1683.6999999999937,11227.528645989158,155
15.9,531.0995106035889,175,1918.200000000009,10384.128333973022,161
11.9,730.7794970986461,184,2021.0,11520.512460243819,171
5.1,906.3301435406697,188,2385.5000000000005,12810.775708007059,177
12.1,1408.8,193,3116.590000000002,17069.110784035696,182
18.6,1290.7819706498951,197,3065.019999999994,15953.52335082456,185
9.6,1238.5044052863436,200,2698.499999999993,16184.985999655091,191
0.0,1343.8955223880596,200,2100.6299999999974,17197.44914736164,197
0.0,975.1489361702127,200,2037.4300000000012,14131.401798949808,208
0.0,183.01041666666666,200,2103.0,414.31580873053235,213
0.0,0.0,200,0.0,0.0,219
0.0,0.0,200,0.0,0.0,222
0.0,0.0,200,0.0,0.0,228
0.0,0.0,200,0.0,0.0,232
0.1,78438.0,200,78438.0,0.0,243
0.0,78438.0,200,78438.0,0.0,248
0.0,78438.0,200,78438.0,0.0,254
0.0,78438.0,200,78438.0,0.0,257
0.0,0.0,200,0.0,0.0,263
0.0,0.0,200,0.0,0.0,267
0.0,0.0,200,0.0,0.0,279
0.1,501078.0,200,501078.0,0.0,284
0.0,501078.0,200,501078.0,0.0,290
0.1,510878.0,200,520678.0,13859.292911256332,293
0.0,510878.0,200,520678.0,13859.292911256332,299
0.1,500777.0,200,520678.0,28144.264104786962,303
0.0,500777.0,200,520678.0,28144.264104786962,315
0.0,480876.0,200,480876.0,0.0,321
0.0,480876.0,200,480876.0,0.0,327
0.0,0.0,200,0.0,0.0,331
0.0,0.0,200,0.0,0.0,337
0.0,0.0,200,0.0,0.0,342
0.0,0.0,200,0.0,0.0,353
0.0,0.0,200,0.0,0.0,360
0.0,0.0,200,0.0,0.0,366
0.0,0.0,200,0.0,0.0,370
0.0,0.0,200,0.0,0.0,376
