throughput,latency,threads,p99 latency,std dev,errors
9.0,1806.1068493150683,26,36614.10000000007,6615.58756990848,1
10.5,1668.1670951156811,26,33036.000000000284,6218.592009263621,3
8.6,1790.2748691099475,26,44609.04000000003,7015.724323253566,3
10.1,1781.5392670157066,26,38686.510000000104,6732.2853593613645,5
11.7,1551.3325183374081,26,37341.39999999998,6092.498430000019,5
12.2,1583.8708920187792,26,37219.680000000015,6410.2288970600475,6
9.0,1474.2976744186046,26,32970.47999999998,5517.550551498333,7
13.0,1312.9172113289758,28,25501.799999999963,5024.1455466059515,10
11.6,1318.3449781659388,28,24709.15999999991,4979.8096255768505,10
15.3,1136.9366053169733,29,21934.30000000004,4103.745463097207,11
11.6,1077.326213592233,30,21563.23999999997,3989.5556716982896,11
14.3,1060.1931818181818,30,21405.810000000045,4050.289260946041,12
13.2,1013.8933823529411,31,22628.749999999927,3932.8976711506866,13
14.0,985.4293785310734,35,20438.159999999985,3627.1631609865985,16
16.7,881.7714776632303,35,17848.389999999996,3262.3375763886856,16
14.0,764.9671848013817,36,15652.000000000024,2673.475690386466,18
17.2,754.3489499192244,37,17905.799999999996,2802.417327023346,19
15.3,688.0664556962025,38,14720.92999999998,2538.277888451101,20
12.5,684.7203389830507,40,14443.110000000015,2497.343129755106,22
14.3,714.8465430016863,43,15061.639999999834,2623.0562568784158,25
17.9,692.155,43,12685.840000000006,2363.0835132214643,25
19.6,592.7760497667185,46,11946.999999999985,2070.1121464012112,28
23.2,474.9773333333333,47,9104.610000000004,1812.2480748873206,29
23.7,402.78317535545017,48,8556.699999999995,1508.5547762134477,30
31.0,268.4430769230769,50,5007.520000000001,970.0339317564784,32
28.4,201.34901222953903,54,3871.999999999955,748.4211098952129,35
23.3,451.3674812030075,54,3251.199999999991,9495.940977852524,37
19.2,855.7497546614327,54,1606.3999999999978,14007.674314481224,41
21.3,1282.3177874186551,54,1299.1799999999992,18412.257646925686,42
25.6,1782.9888143176734,54,3407.0999999999635,22177.5231229724,43
32.9,1311.291919191919,54,2661.1200000000213,18669.0964318045,47
24.1,1321.7333974975938,54,4128.59999999999,18391.827209738087,47
28.1,969.0993676603432,54,4039.8400000000256,14690.178232659267,49
28.0,778.9045092838196,54,1984.0000000000064,11765.226554076618,52
26.5,1052.957825679475,54,3828.6399999999776,14207.811745309413,53
28.8,543.4937163375224,54,1719.4999999999918,9702.978826629653,56
16.3,1168.3604417670683,54,4158.489999999971,15587.677978564301,61
20.6,1065.3861171366593,54,5104.119999999991,14610.434061904,61
25.9,1058.7106986899562,54,5131.480000000019,14416.422412069085,62
17.0,1897.1015037593984,54,65337.23999999961,18258.950282293474,66
19.7,1172.4194711538462,54,8993.219999999988,12495.306684861398,66
30.3,1053.3659849300323,54,8605.800000000003,11829.396733804233,68
37.0,726.8423076923077,54,8076.749999999908,8638.842747025377,72
27.1,396.7581069237511,54,4837.559999999998,4805.607327231562,73
32.8,328.1077044025157,54,2354.079999999998,4521.842666100465,74
31.5,290.7305295950156,54,1744.9500000000066,4483.353870932524,77
28.1,295.4033472803347,54,1460.3299999999967,4643.245292244256,78
18.5,568.8133453561767,54,1178.600000000003,9782.201846149512,82
27.4,597.352606635071,54,1072.6000000000008,10029.907171452807,86
25.4,792.6649899396377,54,1325.4499999999994,11501.475676302132,89
27.4,1006.6740890688259,54,1593.1200000000008,12395.676736229008,91
26.5,699.3420805998124,54,1327.8799999999994,10568.12360032052,92
26.1,927.5189753320683,54,1805.9500000000014,12797.18717896131,93
25.1,956.4424357754518,54,2074.080000000008,12563.524252422447,96
27.6,1056.355175688509,54,2553.0200000000195,13962.85022950275,101
27.1,807.9584513692162,54,2580.8000000000625,11180.642291870516,103
28.3,571.7539315448658,54,1514.1400000000078,8540.869045281837,105
31.3,520.1627296587926,54,1418.0499999999959,8628.861804043909,106
25.3,325.4285714285714,54,1289.6899999999994,5310.759829468514,108
19.5,541.8007662835248,54,1037.7499999999989,8939.620986438358,110
