throughput,latency,threads,p99 latency,std dev,errors
11.0,2139.1724137931033,200,41674.719999999936,7703.494215154936,2
9.1,2327.3052325581393,200,43916.30000000002,8210.950548295945,2
8.3,2148.135211267606,200,40312.63999999999,7678.973314347252,2
8.0,2015.456043956044,200,37274.850000000035,7269.7716987386575,2
9.4,2125.896551724138,200,37253.68999999999,7290.475934756374,2
9.0,1985.7291066282419,200,37264.879999999976,6946.577848065697,3
10.3,1892.651226158038,200,37138.69999999998,6910.871816050856,5
9.8,1733.4597402597403,200,36950.599999999984,6509.47996507345,5
11.4,1573.7185185185183,200,36549.67999999999,6158.201518330985,6
8.4,1504.8621553884711,200,36467.0,5773.09170050664,6
10.1,1638.5692695214104,200,36483.15999999998,6668.118237301211,6
12.8,1658.758782201405,200,35121.87999999985,6720.199073481178,8
12.8,1587.081632653061,200,31134.119999999974,6198.708698933195,10
13.3,1379.4061224489797,200,29936.94999999999,5646.86279700722,10
13.3,1105.632183908046,200,25796.22999999994,4274.984757665369,10
13.8,1044.327067669173,200,21847.239999999787,3975.1462396778606,11
18.8,844.8817567567568,200,15823.320000000022,3226.768860442141,12
25.3,641.5266853932584,200,12616.199999999999,2654.523033191725,15
11.2,1246.3096960926193,200,15828.080000000018,11891.55333887023,17
13.4,1187.4832605531294,200,11946.549999999997,11883.506749425882,17
18.8,1158.1775836972342,200,11413.04,11852.722703432028,17
17.8,1319.1062091503268,200,15180.670000000013,12572.160611788371,20
24.6,494.70509383378015,200,10760.959999999988,1887.8488205599128,23
18.3,448.08553459119497,200,9880.519999999977,1679.1223440387296,27
24.7,361.23770491803276,200,6195.750000000015,1331.7419106947634,28
22.3,329.9310344827586,200,5996.0,1163.7963269238307,28
28.0,304.021436227224,200,5593.899999999996,1074.3978338131403,29
30.9,239.93106704438148,200,4703.800000000013,871.4435050743476,32
30.9,218.12399643175735,200,3971.299999999999,759.236734775515,35
22.8,571.0230905861456,200,2734.300000000002,9538.853503314145,40
24.8,680.6407678244972,200,2337.8999999999965,10450.16154245848,41
30.5,836.8229357798165,200,2532.369999999992,11489.805407808217,42
26.2,1067.8590604026845,200,2621.4799999999996,13567.908560165326,44
18.6,1008.2187812187811,200,3319.820000000013,14374.585165530409,45
26.8,849.3310479921645,200,2532.9599999999896,13637.353413173318,48
33.6,747.041825095057,200,1747.8700000000033,12813.452206204414,52
31.1,516.2418181818182,200,1531.3000000000006,10631.129171249431,54
25.4,371.9144568006843,200,1232.299999999997,6622.272478822657,55
31.8,360.0803937653814,200,1176.1999999999985,6485.279091274738,59
24.1,554.920818505338,200,1206.25,10239.301505543157,60
23.9,830.7012369172216,200,1447.2000000000012,13193.560331507633,63
9.6,1434.635346756152,200,8732.999999999647,16646.183330233496,67
25.7,1591.0,200,13466.599999999751,17245.07431694962,69
30.1,1195.7402015677492,200,7889.479999999991,13972.920369491841,70
29.8,877.9128151260504,200,5996.080000000028,10723.77690979759,72
30.6,186.2194492254733,200,3606.479999999956,642.2211222689682,73
29.4,198.38031693077562,200,2418.8299999999986,1797.9572897033136,77
28.7,180.45569620253164,200,1878.7800000000025,1785.9947555431804,81
23.8,575.3573333333334,200,1642.5200000000004,10351.330356862194,83
27.0,593.0339761248852,200,1657.6999999999975,10520.778167675628,84
20.4,1211.2252252252251,200,2659.0,15985.860781709212,88
27.7,1449.7583417593528,200,2843.9000000000055,17593.37045609247,89
14.6,1615.7547380156075,200,5790.979999999997,18182.264365212486,90
28.4,1593.0153677277717,200,5532.51999999999,18042.779945031154,92
18.2,1107.1889763779527,200,3644.6000000000004,13995.095520365612,94
34.0,1102.1376050420167,200,3650.5200000000004,14780.632341026661,96
23.4,997.1038461538461,200,3308.7899999998785,13275.131466545847,98
18.7,1268.8409331919404,200,13830.679999999535,14518.912261643261,102
35.0,946.4815481548154,200,5449.3199999999415,12851.516503754756,104
26.9,1014.1240384615384,200,8833.249999999953,11603.419329561068,105
