throughput,latency,threads,p99 latency,std dev,errors
18.7,635.0185546875,50,35421.0,5085.590527494385,18
0.0,604.5022727272727,50,39003.26999999995,5198.626966492319,21
0.1,793.7887850467289,50,53895.95999999998,6697.239945661319,23
0.2,2020.5052631578947,50,88812.48000000001,12369.021928092943,29
0.2,78774.8,50,93428.0,22776.689392885874,32
0.3,84794.0,50,106201.0,19830.143404135317,37
0.2,89791.0,50,121659.0,22168.623389827342,50
0.1,90094.75,50,121659.0,23715.616378544448,51
0.1,102908.14285714286,50,128196.0,16234.41544403505,51
0.1,116564.0,50,146941.0,23438.215738404662,53
0.4,118040.71428571428,50,146941.0,17020.86395882306,55
13.6,25609.06338028169,50,171745.44,50404.55939570732,57
0.8,23917.241610738252,50,171732.0,48639.65768427993,62
20.4,12317.56534090909,50,171050.87999999998,34883.34106739503,62
59.7,4648.71746031746,50,165581.7799999998,21754.23471281428,62
33.2,1527.829097283085,50,15265.759999999997,9552.120609309837,63
38.4,1334.8272907053395,50,15249.0,9391.60515118679,64
33.9,839.7790556900726,50,6345.469999999999,6498.457622454661,65
6.9,1177.0462633451957,50,7702.0,7918.608545905629,68
48.0,1004.3907232704402,50,7684.719999999998,7456.037842623241,68
30.1,989.5180824222035,50,7719.4,6167.090444684065,71
18.3,1377.8034849951596,50,15843.5999999998,9851.954994923764,73
32.3,1044.3931623931624,50,6874.6399999994,7373.282557601467,77
42.4,1202.0089285714284,50,18605.560000000107,7979.716467639671,79
17.1,1525.7257039055403,50,20799.600000000002,9171.035646343951,83
66.9,940.8569628229363,50,11472.119999999513,5206.55771551369,84
26.4,899.4973821989529,50,7701.270000000129,4854.3319481397775,88
53.9,820.8021911138161,50,5129.719999999992,4362.772741402597,89
37.5,726.6085544125609,50,6524.959999999974,4003.396340475176,90
71.7,798.6131926121371,50,7225.0399999999845,5232.8144106714935,91
65.4,695.9120350109408,50,7568.63999999999,4813.9951099129485,94
213.9,427.8913770913771,50,2039.2999999999943,3816.155113015119,95
187.4,286.16084695393755,50,1282.0000000000073,2742.587071408058,97
133.0,280.4735701183925,50,1226.039999999999,5053.444581068716,99
59.5,282.13472549680023,50,1302.7599999999948,5066.658837107429,103
104.3,328.8354325831096,50,1724.0400000000136,5496.494235751818,104
278.4,290.4618459933947,50,1337.7900000000145,5112.227493247219,107
143.6,282.1751451007169,50,1198.599999999991,5876.220594687448,107
42.1,281.6210415200563,50,1208.7999999999956,5952.348937871892,110
78.3,299.8937857274571,50,1588.5,6104.323325191256,114
126.1,402.76238131896326,50,2694.040000000012,7132.542975661998,116
192.0,280.80136830102623,50,2653.7400000000134,1075.06265007371,117
160.5,216.9120129287125,50,1728.4000000000015,826.2539439546192,119
53.8,303.54506196019526,50,1776.659999999998,6811.682921934033,120
132.8,302.73725199332466,50,1770.3599999999997,6769.547896076789,123
170.5,316.71933552250334,50,1887.6099999999522,6910.030892712674,125
175.9,373.22382739212003,50,1943.5399999999825,8127.783608394114,127
162.7,234.26682242990654,50,1080.8999999999994,4084.3888243193146,129
111.1,279.3183870967742,50,1073.1999999999953,5997.813532523321,130
164.4,283.6448461162677,50,1111.4000000000015,6046.331227852102,131
238.8,208.340570078275,50,1030.619999999999,4202.966167709808,132
231.8,219.59557640750668,50,810.2300000000178,4852.892029853227,133
185.6,160.42700463075798,50,698.4400000000023,2662.3116862341335,137
168.9,147.86922797236699,50,716.8799999999974,2615.2378005700775,141
144.5,245.79868619132338,50,899.0,7469.897079694418,143
170.8,235.50492684383397,50,966.0100000000002,7250.045091283497,147
195.6,244.20844365989996,50,994.050000000001,7299.373643841888,148
210.3,266.1772046589018,50,931.4799999999994,7623.886300599155,150
236.0,183.46789667896678,50,861.4000000000013,3209.5136350160933,154
198.0,215.9910703655197,50,769.0,4381.356696266609,157
