Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
default,10,446.5316666666667,22.40224844076008,157,101.43915082327881,28
thread_50,10,440.39166666666665,22.675179291161278,161,106.16618626633723,22
thread_100,10,444.085,22.52238122581638,164,111.4666401951875,18
thread_200,10,455.51,21.93836944670077,154,103.75346160378629,14
default,20,284.97833333333335,68.0215571944066,150,1948.1390899456799,61
thread_50,20,285.34,68.21793299221981,159,2003.3203878586237,74
thread_100,20,288.5233333333333,67.82746051734695,168,2023.1835424892759,66
thread_200,20,290.1716666666667,64.84813012986565,156,1767.684741943667,76
default,30,71.75666666666666,310.5373019928462,157,6178.7329573826955,207
thread_100,30,17.856666666666666,1408.1331902184058,3807,19809.72848364081,208
thread_200,30,244.885,104.02713518590359,163,3960.0258230301342,184
default,40,7.168333333333333,1185.9514066496163,2023,17366.855877669972,376
thread_50,40,33.526666666666664,1190.909574468085,14143,10367.012372235049,164
thread_100,40,3.055,1689.6262956901255,25983,20100.62566267785,379
thread_200,40,9.765,802.5497525174944,1031,13384.119857725982,368
default,10,269.96,37.07627673235541,349,127.91512360737329,20
thread_50,10,260.12166666666667,38.45076342480762,353,142.57451585079727,20
thread_100,10,259.0283333333333,38.60533274995657,369,138.182303902294,30
thread_200,10,265.84833333333336,37.61132600668301,345,126.83313794645645,10
default,20,167.17666666666668,113.37597950272168,599,2364.5028602861466,59
thread_50,20,149.66833333333332,130.94780681729603,651,2678.0943737662406,60
thread_100,20,176.88,108.5471411879994,591,2547.7761360321815,67
thread_200,20,190.365,104.01530393367128,587,2253.9025750791457,69
default,30,15.171666666666667,1009.9704493024278,14783,12423.882695315653,246
thread_50,30,45.501666666666665,625.8157576645544,4319,8818.416248237796,146
thread_100,30,8.19,1449.2382987382987,27775,16480.241293153944,245
default,40,3.88,1578.3419243986255,46847,17044.508048868207,381
thread_100,40,2.0966666666666667,3090.7011128775835,104447,26543.578928051746,361
thread_200,40,3.6366666666666667,1538.9922089825848,46079,18248.310040696077,385
default,10,27.655,359.45483035014763,4511,3523.009815172419,31
thread_50,10,25.3,385.1213438735178,7519,2875.805736580798,13
thread_100,10,29.241666666666667,331.94123681960673,3103,3828.032702336489,32
thread_200,10,28.316666666666666,339.3051206592113,3887,3448.2396179609514,22
default,20,21.273333333333333,838.1468191789407,11455,10624.701191782808,110
thread_50,20,20.901666666666667,911.7407702735029,16319,9527.99532242879,91
thread_100,20,18.296666666666667,971.0467298232829,18943,11018.509789120686,95
thread_200,20,20.918333333333333,894.6046530156959,12543,10678.309042308649,105
default,30,1.0,9881.978333333333,248831,41265.20994758011,273
thread_50,30,13.311666666666667,2127.0045073244023,41215,16196.945327194242,163
thread_100,30,0.6,21347.17777777778,423935,75297.97069813558,253
thread_200,30,8.478333333333333,2975.486730882642,69119,26524.832941627683,208
Threads,Number of EBs,Arrival Rate (Throughput),Average Response Time (ms),99p Latency (ms),Std Dev,Errors
browsing_default,10,446.0133333333333,22.409916743894055,148,126.2807406337359,30
browsing_thread_1,10,123.04,81.3236481361075,449,94.79956127128753,8
browsing_thread_20,10,437.045,22.877464944494655,154,110.08811385069697,14
browsing_default,20,228.275,86.21662468513854,154,2245.7709349898355,57
browsing_thread_1,20,126.08166666666666,158.71202527462358,619,134.07695702285218,0
browsing_thread_20,20,311.29833333333335,63.448246323194795,181,1634.9016309043739,60
browsing_default,30,16.411666666666665,691.8613791002335,1031,11216.745859012002,267
browsing_thread_1,30,121.54166666666667,246.5796640383956,859,178.63678213245416,2
browsing_thread_20,30,301.72333333333336,98.54878089198714,417,1671.050462654688,66
browsing_default,40,5.136666666666667,1618.1550940947436,2031,22262.895698213237,377
browsing_thread_1,40,126.37333333333333,316.84684268833087,979,202.8271858735811,8
browsing_thread_20,40,329.225,121.58442301364315,453,1695.9753353234569,79
