throughput,latency,threads,p99 latency
3.0,5083.104761904762,99,88011.07999999999
2.3,11019.142857142857,99,151551.0
1.95,13139.412499999999,98,190741.0
2.1,18311.04444444444,100,245085.0
1.8,23361.632352941175,99,304690.0
2.466666666666667,18904.938775510203,99,389867.0
1.8333333333333333,43383.514285714286,99,451085.0
2.05,22843.469135802465,98,498729.0
2.216666666666667,31469.53658536585,98,531002.0
2.033333333333333,43297.42857142857,98,624639.0
2.25,47486.75,98,679201.0
1.7333333333333334,41649.95945945945,99,746067.0
2.066666666666667,29625.159090909092,98,773138.0
2.9166666666666665,28814.283185840708,99,807192.2599999999
2.1166666666666667,58597.84,99,871127.0
2.4,39087.74193548387,99,930812.0
1.8833333333333333,38099.22619047618,99,902563.0
2.2333333333333334,33302.59740259741,98,948423.0
2.1166666666666667,40134.45,98,702519.0
2.5,38626.25,98,819562.7899999997
2.05,35012.39534883721,98,1149681.0
2.2,43526.66279069768,98,723436.0
2.566666666666667,33025.23809523809,97,963858.179999999
2.0833333333333335,26809.537634408603,97,699820.0
2.3333333333333335,29831.23,96,702119.3899999991
1.75,28665.243243243243,99,953682.0
2.216666666666667,36716.14772727273,96,744980.0
2.55,22758.229166666668,98,698423.0
1.9,40252.645569620254,99,949284.0
2.75,49221.29245283018,98,1722832.2899999935
2.3833333333333333,47748.42105263157,98,1558840.0
2.45,40737.35227272727,98,700854.0
2.3666666666666667,23273.434782608696,98,899379.0
2.4833333333333334,35006.34375,98,608195.0
2.3333333333333335,20405.35789473684,100,448130.0
2.316666666666667,14780.186813186812,99,400282.0
2.5,35874.30476190476,97,1327852.0999999985
2.9,35078.625,97,1027935.1799999999
2.316666666666667,25436.78217821782,98,809625.0400000019
2.8833333333333333,23769.695652173912,98,623308.68
3.2333333333333334,44856.65413533834,95,1930519.8099999796
3.45,27081.08965517241,94,1059021.23999999
2.8833333333333333,19189.387096774193,94,525589.0
2.5,58097.391304347824,96,2023466.0
2.6166666666666667,21544.25842696629,96,789800.0
2.8666666666666667,20154.44444444444,98,818356.3399999975
2.433333333333333,24354.91089108911,98,370635.44
2.966666666666667,15914.666666666666,95,731035.5600000022
2.8333333333333335,14069.106194690265,95,396305.1399999999
2.5833333333333335,22436.237623762372,97,725926.5400000014
2.966666666666667,31746.681034482757,97,534196.6699999999
2.45,33942.290322580644,97,1058779.0
2.7,24574.277777777777,97,619093.0099999992
2.85,12964.923076923076,97,392428.90000000066
3.1333333333333333,22611.73015873016,97,660570.1400000002
2.4166666666666665,39160.71590909091,98,854716.0
2.7666666666666666,15777.247619047617,98,311138.22
2.8833333333333333,27977.401869158875,98,554640.2000000002
3.9166666666666665,16570.71523178808,93,450644.6799999998
3.6333333333333333,10533.561151079135,93,337876.5999999996
