throughput,latency,threads,p99 latency
154.45,313.40205831903944,200,4252.069999999999
95.86666666666666,982.0666189111747,200,8761.320000000012
0.0,0.0,193,0.0
0.016666666666666666,136250.0,187,136250.0
0.0,0.0,180,0.0
0.016666666666666666,246538.0,174,246538.0
2.75,226389.9420289855,229,353298.0
1.9333333333333333,212410.6853932584,228,452310.0
53.3,17012.17126789366,196,404595.18000000005
10.6,53634.53971486761,196,482079.04
2.5833333333333335,621373.6666666666,201,639661.0
0.9166666666666666,160195.8,202,678353.0
0.016666666666666666,0.0,177,0.0
0.03333333333333333,308688.0,170,308688.0
0.0,0.0,163,0.0
2.45,450348.47619047615,160,957944.24
2.45,319181.1578947368,215,969823.0
27.483333333333334,107665.89107692307,215,945062.08
22.2,34909.980769230766,215,1037937.1000000011
1.0333333333333334,355918.1666666667,215,1175479.0
0.11666666666666667,807176.0,151,1199609.0
5.05,225237.76422764227,150,1280596.3299999998
15.916666666666666,48167.037514654156,263,770176.0400000012
11.2,85337.91943127962,262,1178254.8399999868
3.4166666666666665,151763.72222222222,262,1405442.71
43.03333333333333,17630.248736097066,261,434706.56
1.1833333333333333,184921.67272727273,261,1546743.0
6.583333333333333,93328.416,260,1478051.8599999973
18.95,48131.92727272727,260,479602.79999999306
14.7,349276.3888888889,260,1755093.0
1.0333333333333334,253817.10909090907,260,1757571.0
1.8,213688.859375,252,542621.0
66.46666666666667,39330.93786707883,200,540095.48
3.4166666666666665,72656.2052631579,200,1973783.9000000001
0.7,433414.5,201,524570.0
0.6333333333333333,148260.7027027027,202,603682.0
0.7,310285.7105263158,202,2092552.0
1.0166666666666666,407789.7297297297,202,2247917.0
0.08333333333333333,595972.5,151,804724.0
0.85,777845.2448979592,145,2381770.0
22.1,112537.55739058628,243,486099.79999999993
4.25,170025.5829383886,243,1423824.7999999975
52.95,8569.478728168384,243,499657.7799999999
2.033333333333333,106450.48351648351,241,2518469.0
0.0,0.0,148,0.0
0.03333333333333333,145314.5,138,156291.0
56.86666666666667,8257.826292933281,170,221052.9
8.25,220406.11643835617,170,1704741.8800000027
23.25,13785.036485480268,208,89434.43999999989
1.6166666666666667,102316.52459016394,208,1243354.0
1.35,171346.5844155844,208,2613683.0
1.2,354857.83673469385,208,3048401.0
1.0666666666666667,288847.9130434783,208,2662303.0
1.4166666666666667,251331.66176470587,208,1252256.0
56.733333333333334,19696.733486943165,170,435055.7400000001
19.05,30564.798165137614,170,606118.939999985
59.11666666666667,4103.265366680797,200,67166.80000000016
15.05,33535.51253481894,200,495904.7099999968
2.2,0.0,189,0.0
0.0,0.0,182,0.0
