IRR,Request Count,Mean Latency (for window),99th Latency
-1,25594,987.4416426512968,8773.480000000001
-1,25595,136250.0,136250.0
-1,25596,246538.0,246538.0
-1,25877,212410.6853932584,452310.0
-1,29717,53612.43259557344,482078.25999999995
-1,29921,160195.8,678353.0
-1,29924,308688.0,308688.0
-1,30071,450348.47619047615,957944.24
-1,31877,107007.65749235473,944987.8799999999
-1,33261,355918.1666666667,1175479.0
-1,33571,225237.76422764227,1280596.3299999998
-1,35198,85337.91943127962,1178254.8399999868
-1,37985,17735.83926754832,434750.33999999997
-1,38452,94720.39837398373,1488356.6400000027
-1,40470,349276.3888888889,1755093.0
-1,40640,213688.859375,542621.0
-1,44834,72374.83246073299,1973314.799999999
-1,44913,148260.7027027027,603682.0
-1,45017,404934.57894736837,2247917.0
-1,45072,777845.2448979592,2381770.0
-1,46653,170025.5829383886,1423824.7999999975
-1,49952,106450.48351648351,2518469.0
-1,49954,145314.5,156291.0
-1,53861,220406.11643835617,1704741.8800000027
-1,55353,102316.52459016394,1243354.0
-1,55506,354857.83673469385,3048401.0
-1,55655,251331.66176470587,1252256.0
-1,60202,30564.798165137614,606118.939999985
-1,64652,33535.51253481894,495904.7099999968
-1,64784,0.0,0.0
