throughput,latency,threads
2056.85,9.803629234595148,200
1608.6,8.59254969375943,200
1028.6,12.968097982415927,200
876.6,15.113580303867318,200
650.85,19.78173544843564,200
580.3,14.570010814211562,200
439.7,17.087515559669598,200
338.8,37.975740142394066,200
286.5,44.95179191616378,200
219.65,68.92696948334071,200
199.95,57.96015639112479,200
160.2,82.32954270235685,200
140.45,101.2877476362563,200
115.2,124.49738136125386,200
87.15,186.05103530648452,200
82.65,241.76408804956935,200
87.85,262.0136375392457,200
115.3,293.281288204216,200
69.3,314.8909259541176,200
59.1,245.86783896799267,200
59.65,317.4656091024404,200
42.05,291.89772740795337,200
64.2,485.8981877370675,200
65.5,468.1580531117183,200
76.85,525.6201090038003,200
108.55,506.2609187639699,200
100.25,325.2308265783155,200
91.35,450.42708125599995,200
93.2,490.4368143037629,200
83.3,564.7326311814277,200
70.55,574.8071656209887,200
79.15,529.055531070846,200
41.05,648.6272475413638,200
35.6,865.5592574705881,200
0.3,2189.4296298469903,200
0.3,6386.021154203883,200
