throughput,latency,threads
453.85,100.06018515577833,200
16.5,99.78521429393005,200
6.8,105.34418819197317,200
4.6,266.49147237096776,200
4.95,833.3767596972477,200
2.85,1194.6139092459675,200
6.35,1680.243742876325,200
5.05,1577.974780585965,200
6.05,1913.9839994756444,200
4.6,2526.683443531847,200
3.35,3115.1093680107138,200
6.55,3600.9370246392855,200
4.25,3150.09466225795,200
4.55,3966.6945413876224,200
5.6,3643.3759934201385,200
8.05,5518.0517650989,200
4.55,4121.392387958791,200
7.15,4824.524090248101,200
4.95,5953.115316495496,200
3.7,7427.243580949367,200
10.05,5622.7922674465235,200
3.7,3566.616328702006,200
4.85,3681.1187861720427,200
3.95,5592.385423172,200
5.15,6999.676505756272,200
4.55,7126.030485641025,200
3.8,9288.630458414813,200
3.0,7845.371213229074,200
4.8,8426.681874948275,200
5.0,5905.798559578125,200
5.1,7094.4932025,200
4.9,8467.414395333333,200
6.7,7766.258506904192,200
4.95,8595.977314229607,200
6.0,6852.835596229462,200
8.65,7096.548168272959,200
