throughput,latency,threads
4733.05,5.413015744742704,125
3791.55,7.9382556945725105,150
1788.1,9.845793943046933,150
758.7,13.166717824572906,150
243.3,20.833544832691622,150
219.75,23.24792799323588,150
155.6,52.33932913930789,150
185.0,56.18437018128246,150
178.15,86.75344691744803,150
152.9,103.5765785275582,150
129.45,137.12671368383678,150
161.8,148.30063888854727,150
111.1,158.00496882108277,150
125.85,152.72485879193977,150
319.65,169.81254758011968,150
256.85,107.52866656393513,150
210.5,104.98199826160545,150
181.7,100.76060857106701,150
129.0,125.5269261005732,150
111.55,126.61355751115593,150
162.3,134.6203357319353,150
153.95,219.2558169352402,150
119.6,289.62224358518995,150
132.85,334.7852558748805,150
109.85,379.7071550982375,150
159.4,331.59502702129754,150
163.25,348.66230238937834,150
203.7,302.03514712983707,150
235.3,343.0177093100293,150
188.5,315.5612541424143,150
116.45,404.85370416121515,150
173.0,440.84096199223234,150
227.1,448.1417806144442,150
175.35,352.15452098147125,150
16.1,579.2372059717368,150
14.7,1155.5964479624251,150
