throughput,latency,threads
282.85,31.863122666430968,102
21.1,49.7512011557822,103
15.0,67.5102996311334,104
11.1,431.34734890889825,104
12.5,614.2357541023316,104
9.6,1002.2701629186747,104
14.55,1184.9937453533425,104
12.9,1504.9177044412957,104
17.55,1433.425735382222,104
9.3,1896.9975639380646,104
12.8,1875.2319923934426,104
12.4,2252.434969556522,104
12.45,2316.4130990810095,104
10.1,2620.2426346037196,104
12.85,2977.345759382768,105
13.95,3061.5431080298104,105
8.1,3212.774377883954,105
15.65,3093.3589156173334,105
9.7,3082.7719352481317,105
12.35,2940.7985423448276,105
7.8,3868.775414360134,105
10.3,5081.771058062397,105
10.2,5694.314381194346,105
20.9,4004.0155446437193,105
8.95,2911.5681135680397,105
12.6,3667.616215785283,105
15.05,4048.123823150273,105
16.7,3818.4644707851426,105
7.5,3768.6463217796177,105
14.65,4091.114598415701,105
11.85,4989.514486013333,105
10.0,4887.576971406848,105
10.15,5381.021267315625,105
12.7,5585.432642550989,105
13.35,6078.687021389503,105
11.75,6099.31615221164,105
