throughput,latency,threads
248.1,65.46618004836631,150
0.75,69.99450420293806,150
3.05,1125.5164268181818,150
4.95,3133.870411622857,150
3.25,3646.4910885270933,150
5.8,2708.687459526515,150
6.35,1269.4899644731543,150
1.6,2979.9587018242187,150
0.4,5956.437448065359,150
0.25,25747.954383447366,150
0.25,47173.724756888885,150
0.8,44293.16529988461,150
0.3,43975.713665999996,150
1.15,26158.097044813952,150
0.1,38035.57340648387,150
0.95,21116.175020681818,150
3.2,17992.996158588234,150
0.95,19057.079407680412,150
1.7,13327.20131489655,150
2.25,12874.302005173913,150
4.9,7190.202279375757,150
4.8,8808.368051787233,150
4.95,7806.747511133093,150
0.1,15205.79974125767,150
1.25,35650.409607357135,150
1.15,62603.20667696,150
2.5,31154.143475215908,150
1.05,30751.588962741935,150
2.45,26254.79348095833,150
1.3,28084.548086191488,150
1.6,26845.19178628037,150
0.8,37064.168974261534,150
0.7,36607.47270326786,150
1.25,44456.86137630909,150
0.55,33943.82666464,150
0.7,36888.29870828261,150
