throughput,latency,threads
252.65,56.07848499555523,150
2.05,66.15568841536188,150
0.7,282.22467397724137,150
0.25,6109.52336321739,150
0.35,18657.755513,150
0.85,13438.140007965516,150
4.45,10146.995645711711,150
2.95,9648.84405131515,150
14.35,4642.449485082089,150
4.1,4322.404426799054,150
0.9,3899.83174482153,150
0.95,6505.77277202521,150
0.25,24580.94988651282,150
0.9,29744.3210975,150
0.4,25060.32038803333,150
1.25,10660.683893540001,150
1.6,11225.003185092308,150
1.6,18160.562384405064,150
1.45,23892.754174122223,150
0.65,32758.7459172807,150
1.25,42892.61595691071,150
1.65,37532.96890617911,150
3.15,21555.595105537814,150
1.25,16145.849929214875,150
4.6,12544.111889299998,150
2.45,20149.714112487178,150
3.2,17354.59755349468,150
2.3,24751.361806116787,150
7.65,13242.91875731225,150
1.45,13364.395120656249,150
2.1,14017.01330472973,150
3.0,18199.695279192307,150
1.35,19064.038766146343,150
1.65,20100.3875423,150
0.75,32894.65081654098,150
1.3,16289.156697228571,150
