throughput,latency,threads
2801.95,14.19016420945684,150
462.75,13.851746166280083,150
187.3,9.875623413478712,150
148.2,28.06515540768487,150
137.75,63.4123973106283,150
122.6,102.9058002898779,150
106.0,129.32968775649874,150
119.25,133.28061207582937,150
72.45,196.2131237208566,150
85.15,271.2771260583067,150
102.55,337.7734336770746,150
134.65,298.71758933074113,150
144.2,314.2748393927998,150
85.95,254.91222368923633,150
77.75,336.45997951934623,150
158.5,372.6836098774448,150
165.95,414.71150589595834,150
129.5,321.9606098010858,150
134.15,253.8000246968962,150
101.2,254.05589117978928,150
145.5,371.7689965511054,150
137.95,447.0647857612058,150
145.8,332.5227371516206,150
153.55,395.93263520129335,150
211.9,439.99991926160425,150
173.6,515.9995597975194,150
128.95,448.2172329323616,150
78.2,516.9852809527914,150
157.8,593.4127419856399,150
630.6,265.84958815463057,174
315.5,179.8814650405361,174
246.6,177.30895287415038,174
103.75,233.2176627059963,150
132.8,368.18841638154123,150
69.4,668.3939623894288,150
11.6,1404.949153431144,150
