throughput,latency,threads
108.35,17.335685740655283,200
32.7,114.16688990825686,200
24.05,263.34342619542616,200
15.95,729.1533598726115,200
20.9,813.8312368421052,200
16.25,979.7710430769231,200
22.3,846.6182040358744,200
20.6,1454.8663009708737,200
20.65,981.4332276029055,200
20.55,1532.1550194647202,200
19.35,1553.0250801033592,200
19.85,2180.365853904282,200
16.1,1395.673131661442,200
16.85,1947.9182166172106,200
26.45,2025.0414711538463,200
27.55,5671.000660617059,200
17.65,4568.266801699717,200
11.95,2309.680255230125,200
17.05,1710.0873753665687,200
14.95,2939.958048442906,200
8.95,3769.686413407821,200
4.2,9433.097761904763,200
14.85,2536.036956228956,200
12.4,1173.170862903226,200
14.65,2593.280119453925,200
12.9,3240.122031007752,200
15.25,3821.9855934426228,200
21.25,2307.7797552941174,200
16.25,2136.263763076923,200
12.25,4347.343706122449,200
21.65,6747.356434180138,200
15.0,2654.490393939394,200
13.85,3722.0919422382667,200
19.1,1344.218123036649,200
14.85,3831.3323164983162,200
13.9,2122.0581043165466,200
